date,ticker,name,market,close,turnover_value,turnover_5d,turnover_20d,turnover_60d,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,top300_count_last20_trading_days,layer0_core_top250,layer0_buffer_candidate_251_300,buffer_confirmation,layer0_active_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,2330,台積電,TWSE,2465.0,62400639776,72098599723.2,95161758116.0,96259540890.56667,1.0,1.0,1.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2327,國巨*,TWSE,891.0,63494571030,53170416665.6,64323903671.7,36465225987.083336,2.0,2.0,4.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2454,聯發科,TWSE,3995.0,26843012272,36560192135.4,53831721777.8,50813236672.96667,3.0,3.0,2.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3481,群創,TWSE,65.2,26909924773,32319467660.2,33298995957.45,25931509793.433334,4.0,7.0,8.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3037,欣興,TWSE,863.0,29049388987,27598875644.2,28407695615.4,23561822763.033333,5.0,9.0,9.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2408,南亞科,TWSE,396.0,25346334678,27554353381.8,45889633755.7,42082546323.76667,6.0,4.0,3.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2344,華邦電,TWSE,168.5,24801801543,27504847073.2,44598150055.4,33871935004.8,7.0,5.0,5.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,6182,合晶,TPEx,160.0,21357863496,22015434904.0,11191184169.5,5304816587.266666,8.0,26.0,56.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2308,台達電,TWSE,1885.0,24583391342,21137071886.4,28611248067.0,27422852515.266666,9.0,8.0,7.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3711,日月光投控,TWSE,625.0,16876148528,18797548591.8,17691196212.45,15389649914.366667,10.0,13.0,19.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,8046,南電,TWSE,1105.0,23294157260,17310441121.0,19088009964.05,17253062227.316666,11.0,12.0,15.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,4958,臻鼎-KY,TWSE,565.0,17670616502,16873513895.2,22552164532.2,19674606084.016666,12.0,10.0,12.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2383,台光電,TWSE,5315.0,14217572400,15938127256.2,11949855242.45,12961900227.533333,13.0,23.0,21.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3042,晶技,TWSE,206.0,8576263973,13678922340.4,9313397913.8,5355907303.6,14.0,30.0,55.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3026,禾伸堂,TWSE,953.0,19162490658,13207942357.6,5951315968.3,3260621949.05,15.0,45.0,94.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,6213,聯茂,TWSE,393.5,13967756964,12826871576.6,7797468631.95,6069514690.683333,16.0,34.0,51.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2303,聯電,TWSE,163.0,13833230615,12746542674.0,41157301873.55,33824798056.683334,17.0,6.0,6.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,6488,環球晶,TPEx,1230.0,11377768700,12708022594.0,6897771773.4,6540989294.016666,18.0,38.0,46.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2449,京元電子,TWSE,305.5,8130356457,12348171606.6,11802466897.85,12591000289.5,19.0,24.0,22.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2317,鴻海,TWSE,237.5,8963064431,12090432175.2,15944608390.6,22040406985.133335,20.0,15.0,11.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3661,世芯-KY,TWSE,4065.0,6539739731,11712271041.6,8640950040.9,10109605272.366667,21.0,33.0,28.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3017,奇鋐,TWSE,2325.0,10430098105,11524462161.0,10390057216.9,13085731378.266666,22.0,28.0,20.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,3443,創意,TWSE,4400.0,7526430470,11264865298.0,11566585184.5,11560942432.5,23.0,25.0,23.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,6274,台燿,TPEx,1645.0,9666032185,11241993008.0,10693005548.75,8696652271.6,24.0,27.0,33.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,2409,友達,TWSE,29.55,7750962170,10912547816.6,14478533056.85,10349081976.45,25.0,17.0,27.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,6770,力積電,TWSE,71.2,9755632881,10356565304.4,17078731506.75,15421029348.266666,26.0,14.0,18.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,8299,群聯,TPEx,2140.0,7436434395,9868381557.0,12989527135.0,19006218208.65,27.0,19.0,13.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
2026-07-08,1303,南亞,TWSE,182.0,19407993393,9464069427.0,10017614065.9,8412855051.133333,28.0,29.0,35.0,20,True,False,True,True,True,False,False,False,True,False,False,False,True,False
