signal_date,period_label,source_variant,blocked_item,blocked_reason,policy
2015-01-09,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-01-16,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-01-23,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-01-30,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-02-13,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-07-31,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-08-07,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-08-14,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-09-11,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-10-23,P1,market_bias_pool_trend_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-10-23,P1,pool_breadth_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2015-10-30,P1,hybrid_pullback_base_mega_override,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-03-25,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-05-20,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-06-08,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-07-01,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-07-22,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-08-12,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-09-30,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-10-14,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-10-21,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-10-28,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2016-11-11,P1,pool_breadth_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2017-07-07,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2017-07-14,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2017-09-15,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2017-09-15,P1,dispersion_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2017-09-15,P1,hybrid_pullback_base_mega_override,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-02-02,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-07-13,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-07-20,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-08-03,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-08-10,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-08-24,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-08-31,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2018-09-14,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-05-10,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-10-04,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-10-09,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-10-09,P1,dispersion_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-11-01,P1,market_bias_pool_trend_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-11-01,P1,pool_breadth_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-11-08,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-11-15,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-11-22,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-12-20,P1,conservative_hurdle_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-12-27,P1,hybrid_pullback_base_mega_override,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
2019-12-27,P1,market_bias_pool_trend_route,source_variant_missing,required exact consensus source variant row is not materialized for this date,do not substitute route_support score threshold
