signal_date,source_variant,route_mode,path_ready,period_label,candidate_ticker,source_available,candidate_is_stock,source_family,exact_trigger_source_quality,exposure_flag,path_source_status,in_P1,in_P2,in_2024_latest,in_2026YTD,future_return_used,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,conservative_hurdle_route,,,P1,,False,False,missing_source_variant,missing_source_variant,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-09,dispersion_route,low_risk_strength,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-09,hybrid_pullback_base_mega_override,pullback_repair,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-09,market_bias_pool_trend_route,pullback_repair,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-09,pool_breadth_route,low_risk_strength,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-16,conservative_hurdle_route,,,P1,,False,False,missing_source_variant,missing_source_variant,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-16,dispersion_route,low_risk_strength,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-16,hybrid_pullback_base_mega_override,pullback_repair,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-16,market_bias_pool_trend_route,pullback_repair,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-16,pool_breadth_route,low_risk_strength,True,P1,2330,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-23,conservative_hurdle_route,,,P1,,False,False,missing_source_variant,missing_source_variant,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-23,dispersion_route,low_risk_strength,True,P1,2317,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-23,hybrid_pullback_base_mega_override,pullback_repair,True,P1,2317,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-23,market_bias_pool_trend_route,pullback_repair,True,P1,2317,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-23,pool_breadth_route,low_risk_strength,True,P1,2317,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-30,conservative_hurdle_route,,,P1,,False,False,missing_source_variant,missing_source_variant,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-30,dispersion_route,low_risk_strength,True,P1,2603,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-30,hybrid_pullback_base_mega_override,pullback_repair,True,P1,2603,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-30,market_bias_pool_trend_route,pullback_repair,True,P1,2603,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-01-30,pool_breadth_route,low_risk_strength,True,P1,2603,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-02-06,conservative_hurdle_route,rs20_top3_risk_tiebreak,True,P1,8150,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-02-06,dispersion_route,rs20_top3_risk_tiebreak,True,P1,8150,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-02-06,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,True,P1,8150,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-02-06,market_bias_pool_trend_route,pullback_repair,True,P1,3607,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2015-02-06,pool_breadth_route,stable_strength,True,P1,5474,True,True,p1_legacy_route_trace,exact_p1_legacy_source_variant_trace,,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
