period,scope_type,requested_start,requested_end,actual_start,actual_end,weekly_snapshot_count,rows,avg_weekly_count,median_weekly_count,unique_ticker_count,median_active_weeks,ge52_ticker_count,ge104_ticker_count,short_1_4w_ticker_count,short_1_4w_share,avg_turnover_share_5d,median_turnover_share_5d,diagnostic_only
ALL,active_layer1_source_scope,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,171494,289.68581081081084,290.0,1612,36.0,692,471,272,0.1687344913151365,0.8896409622624006,0.8919045219959387,True
ALL,watchlist_reference,2015-01-09,2026-06-29,2015-01-16,2026-06-29,591,6106,10.331641285956007,10.0,1441,3.0,0,0,882,0.6120749479528106,0.006024356840091461,0.005928556232809033,True
P1,active_layer1_source_scope,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,119053,289.6666666666667,290.0,1408,31.0,557,367,283,0.20099431818181818,0.8876245024439233,0.8889941369233519,True
P1,watchlist_reference,2015-01-02,2022-12-29,2015-01-16,2022-12-23,410,4247,10.358536585365854,10.0,1222,3.0,0,0,880,0.7201309328968903,0.0061390705244634665,0.006031985594675717,True
P2,active_layer1_source_scope,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,52149,289.71666666666664,290.0,1181,19.0,336,194,284,0.24047417442845045,0.8942194742569847,0.8959298343351363,True
P2,watchlist_reference,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,1851,10.283333333333333,10.0,868,2.0,0,0,818,0.9423963133640553,0.005770678996376765,0.005438235125185806,True
2024_latest,active_layer1_source_scope,2024-01-02,2026-06-30,2024-01-05,2026-06-29,129,37387,289.8217054263566,290.0,1051,16.0,273,142,282,0.26831588962892483,0.8998083545156897,0.9021824580125583,True
2024_latest,watchlist_reference,2024-01-02,2026-06-30,2024-01-05,2026-06-29,129,1313,10.178294573643411,10.0,702,2.0,0,0,679,0.9672364672364673,0.005460657690992949,0.005106627169199181,True
2026YTD,active_layer1_source_scope,2026-01-02,2026-06-30,2026-01-02,2026-06-29,26,7544,290.15384615384613,290.5,659,9.0,0,0,263,0.3990895295902883,0.9250605975710702,0.924695024969668,True
2026YTD,watchlist_reference,2026-01-02,2026-06-30,2026-01-02,2026-06-29,26,256,9.846153846153847,9.5,210,1.0,0,0,210,1.0,0.004369580539214336,0.0037905665726726484,True
