snapshot_date,scope_type,ticker_count,traded_value_5d,median_rank_5d,pure_5d_burst_watchlist_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2015-01-09,active_layer1_source_scope,300,484844776851.0,150.5,0,560573782569.0,0.8649080494436454,True
2015-01-16,active_layer1_source_scope,283,463720380788.0,142.0,0,543761781127.0,0.8528006139506416,True
2015-01-16,watchlist_reference,17,6006146848.0,275.0,17,543761781127.0,0.011045547988958819,True
2015-01-23,active_layer1_source_scope,283,467155106448.0,142.0,0,538216105355.0,0.8679693933348034,True
2015-01-23,watchlist_reference,17,5611972243.0,269.0,17,538216105355.0,0.010426986831429765,True
2015-01-30,active_layer1_source_scope,288,422029829168.0,144.5,0,486014633090.0,0.8683479887936804,True
2015-01-30,watchlist_reference,12,3525795039.0,274.5,12,486014633090.0,0.00725450387488044,True
2015-02-06,active_layer1_source_scope,292,388661900743.0,146.5,0,443889265365.0,0.8755830137577493,True
2015-02-06,watchlist_reference,8,2063696576.0,271.5,8,443889265365.0,0.004649124763814843,True
2015-02-13,active_layer1_source_scope,289,384316764436.0,145.0,0,439460101412.0,0.8745202652099187,True
2015-02-13,watchlist_reference,11,2751573670.0,286.0,11,439460101412.0,0.006261259352462491,True
2015-02-26,active_layer1_source_scope,289,440064170125.0,145.0,0,502967701310.0,0.8749352472908992,True
2015-02-26,watchlist_reference,11,3353240130.0,278.0,11,502967701310.0,0.00666690946807588,True
2015-03-06,active_layer1_source_scope,291,452920433314.0,146.0,0,532811760760.0,0.8500571246174382,True
2015-03-06,watchlist_reference,9,3463114256.0,283.0,9,532811760760.0,0.006499695598048045,True
2015-03-13,active_layer1_source_scope,290,470986563553.0,145.5,0,557329767242.0,0.8450769925384075,True
2015-03-13,watchlist_reference,10,4255167147.0,274.0,10,557329767242.0,0.007634918134836228,True
2015-03-20,active_layer1_source_scope,291,535286894101.0,146.0,0,636613232351.0,0.8408353249652009,True
2015-03-20,watchlist_reference,9,4249710344.0,278.0,9,636613232351.0,0.006675497975915304,True
2015-03-27,active_layer1_source_scope,292,543377674613.0,146.5,0,641436252568.0,0.8471265420960836,True
2015-03-27,watchlist_reference,8,3628124901.0,276.5,8,641436252568.0,0.005656251710867207,True
2015-04-02,active_layer1_source_scope,292,493545222193.0,146.5,0,582256172327.0,0.8476427484152471,True
2015-04-02,watchlist_reference,8,3230254058.0,275.5,8,582256172327.0,0.005547822782350622,True
2015-04-10,active_layer1_source_scope,289,464733644013.0,145.0,0,563020257986.0,0.8254297024327605,True
2015-04-10,watchlist_reference,11,5205560999.0,277.0,11,563020257986.0,0.00924577921515826,True
2015-04-17,active_layer1_source_scope,285,471311281998.0,143.0,0,570906048836.0,0.8255496380865814,True
2015-04-17,watchlist_reference,15,6147246426.0,282.0,15,570906048836.0,0.010767527228925673,True
2015-04-24,active_layer1_source_scope,286,577266015031.0,143.5,0,673172356948.0,0.8575307780732173,True
2015-04-24,watchlist_reference,14,5762238189.0,284.5,14,673172356948.0,0.008559825919062673,True
2015-04-30,active_layer1_source_scope,292,622049139895.0,146.5,0,718208358492.0,0.8661123649425321,True
2015-04-30,watchlist_reference,8,3752907980.0,264.5,8,718208358492.0,0.0052253749704053365,True
2015-05-08,active_layer1_source_scope,291,458032619616.0,146.0,0,541983116309.0,0.8451049596070122,True
2015-05-08,watchlist_reference,9,3345390944.0,294.0,9,541983116309.0,0.006172500292597118,True
2015-05-15,active_layer1_source_scope,291,449719058601.0,146.0,0,534793423748.0,0.8409210708860775,True
2015-05-15,watchlist_reference,9,3223139826.0,287.0,9,534793423748.0,0.006026887547365907,True
2015-05-22,active_layer1_source_scope,292,489088946594.0,146.5,0,559559306563.0,0.8740609634359359,True
2015-05-22,watchlist_reference,8,2913569938.0,272.5,8,559559306563.0,0.005206901044852812,True
2015-05-29,active_layer1_source_scope,287,514271905055.0,144.0,0,589346355738.0,0.8726140410438457,True
2015-05-29,watchlist_reference,13,5045431450.0,275.0,13,589346355738.0,0.008561063287957275,True
2015-06-05,active_layer1_source_scope,292,536087134861.0,146.5,0,621260379222.0,0.862902500771638,True
2015-06-05,watchlist_reference,8,3458814101.0,283.0,8,621260379222.0,0.0055674145924635475,True
2015-06-12,active_layer1_source_scope,288,480403749155.0,144.5,0,559913141037.0,0.8579969176384344,True
2015-06-12,watchlist_reference,12,4575335711.0,281.0,12,559913141037.0,0.008171509785475197,True
2015-06-18,active_layer1_source_scope,290,418130091200.0,145.5,0,474428114711.0,0.8813349762264949,True
2015-06-18,watchlist_reference,10,3121945922.0,282.0,10,474428114711.0,0.00658044037694045,True
2015-06-26,active_layer1_source_scope,289,458443214198.0,145.0,0,520028453259.0,0.8815733280072514,True
2015-06-26,watchlist_reference,11,3669265868.0,285.0,11,520028453259.0,0.007055894432323539,True
