period,scope_type,appearance_bin,ticker_count,share_of_unique,diagnostic_only
ALL,active_layer1_source_scope,1_4_weeks,272,0.1687344913151365,True
ALL,active_layer1_source_scope,5_12_weeks,231,0.1433002481389578,True
ALL,active_layer1_source_scope,13_26_weeks,206,0.12779156327543426,True
ALL,active_layer1_source_scope,27_52_weeks,215,0.13337468982630274,True
ALL,active_layer1_source_scope,53_104_weeks,224,0.13895781637717122,True
ALL,active_layer1_source_scope,105_plus_weeks,464,0.2878411910669975,True
ALL,watchlist_reference,1_4_weeks,882,0.6120749479528106,True
ALL,watchlist_reference,5_12_weeks,526,0.3650242886884108,True
ALL,watchlist_reference,13_26_weeks,33,0.022900763358778626,True
ALL,watchlist_reference,27_52_weeks,0,0.0,True
ALL,watchlist_reference,53_104_weeks,0,0.0,True
ALL,watchlist_reference,105_plus_weeks,0,0.0,True
P1,active_layer1_source_scope,1_4_weeks,283,0.20099431818181818,True
P1,active_layer1_source_scope,5_12_weeks,200,0.14204545454545456,True
P1,active_layer1_source_scope,13_26_weeks,186,0.13210227272727273,True
P1,active_layer1_source_scope,27_52_weeks,184,0.13068181818181818,True
P1,active_layer1_source_scope,53_104_weeks,192,0.13636363636363635,True
P1,active_layer1_source_scope,105_plus_weeks,363,0.2578125,True
P1,watchlist_reference,1_4_weeks,880,0.7201309328968903,True
P1,watchlist_reference,5_12_weeks,333,0.2725040916530278,True
P1,watchlist_reference,13_26_weeks,9,0.007364975450081833,True
P1,watchlist_reference,27_52_weeks,0,0.0,True
P1,watchlist_reference,53_104_weeks,0,0.0,True
P1,watchlist_reference,105_plus_weeks,0,0.0,True
P2,active_layer1_source_scope,1_4_weeks,284,0.24047417442845045,True
P2,active_layer1_source_scope,5_12_weeks,210,0.17781541066892464,True
P2,active_layer1_source_scope,13_26_weeks,184,0.15580016934801016,True
P2,active_layer1_source_scope,27_52_weeks,168,0.14225232853513972,True
P2,active_layer1_source_scope,53_104_weeks,142,0.12023708721422523,True
P2,active_layer1_source_scope,105_plus_weeks,193,0.1634208298052498,True
P2,watchlist_reference,1_4_weeks,818,0.9423963133640553,True
P2,watchlist_reference,5_12_weeks,50,0.0576036866359447,True
P2,watchlist_reference,13_26_weeks,0,0.0,True
P2,watchlist_reference,27_52_weeks,0,0.0,True
P2,watchlist_reference,53_104_weeks,0,0.0,True
P2,watchlist_reference,105_plus_weeks,0,0.0,True
2024_latest,active_layer1_source_scope,1_4_weeks,282,0.26831588962892483,True
2024_latest,active_layer1_source_scope,5_12_weeks,195,0.18553758325404376,True
2024_latest,active_layer1_source_scope,13_26_weeks,165,0.15699333967649856,True
2024_latest,active_layer1_source_scope,27_52_weeks,140,0.13320647002854424,True
2024_latest,active_layer1_source_scope,53_104_weeks,128,0.12178877259752617,True
2024_latest,active_layer1_source_scope,105_plus_weeks,141,0.13415794481446242,True
2024_latest,watchlist_reference,1_4_weeks,679,0.9672364672364673,True
2024_latest,watchlist_reference,5_12_weeks,23,0.03276353276353276,True
2024_latest,watchlist_reference,13_26_weeks,0,0.0,True
2024_latest,watchlist_reference,27_52_weeks,0,0.0,True
2024_latest,watchlist_reference,53_104_weeks,0,0.0,True
2024_latest,watchlist_reference,105_plus_weeks,0,0.0,True
2026YTD,active_layer1_source_scope,1_4_weeks,263,0.3990895295902883,True
2026YTD,active_layer1_source_scope,5_12_weeks,113,0.17147192716236723,True
2026YTD,active_layer1_source_scope,13_26_weeks,283,0.4294385432473445,True
2026YTD,active_layer1_source_scope,27_52_weeks,0,0.0,True
2026YTD,active_layer1_source_scope,53_104_weeks,0,0.0,True
2026YTD,active_layer1_source_scope,105_plus_weeks,0,0.0,True
2026YTD,watchlist_reference,1_4_weeks,210,1.0,True
2026YTD,watchlist_reference,5_12_weeks,0,0.0,True
2026YTD,watchlist_reference,13_26_weeks,0,0.0,True
2026YTD,watchlist_reference,27_52_weeks,0,0.0,True
2026YTD,watchlist_reference,53_104_weeks,0,0.0,True
2026YTD,watchlist_reference,105_plus_weeks,0,0.0,True
