snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2015-01-09,top200_buffer100,300,484844776851.0,150.5,0,10,560573782569.0,0.8649080494436454,True
2015-01-09,top300_buffer100,400,509824353301.0,200.5,0,16,560573782569.0,0.909468778515782,True
2015-01-09,top500_reference_only,500,526086367492.0,250.5,0,20,560573782569.0,0.9384783660075023,True
2015-01-09,turnover_share_80_reference,210,448767678793.0,105.5,0,5,560573782569.0,0.8005506014505094,True
2015-01-09,turnover_share_90_reference,376,504665408212.0,188.5,0,16,560573782569.0,0.9002658060446872,True
2015-01-16,top200_buffer100,300,469726527636.0,150.5,0,12,543761781127.0,0.8638461619396004,True
2015-01-16,top300_buffer100,400,494023974761.0,200.5,0,15,543761781127.0,0.9085301540264314,True
2015-01-16,top500_reference_only,500,509644403289.0,250.5,0,24,543761781127.0,0.9372567565022897,True
2015-01-16,turnover_share_80_reference,213,435256811773.0,107.0,0,7,543761781127.0,0.8004549545039508,True
2015-01-16,turnover_share_90_reference,378,489579317441.0,189.5,0,15,543761781127.0,0.9003562486982783,True
2015-01-23,top200_buffer100,300,472767078691.0,150.5,0,10,538216105355.0,0.8783963801662332,True
2015-01-23,top300_buffer100,400,494901271947.0,200.5,0,17,538216105355.0,0.9195214840711053,True
2015-01-23,top500_reference_only,500,508841634210.0,250.5,0,21,538216105355.0,0.945422534084845,True
2015-01-23,turnover_share_80_reference,191,430828844139.0,96.0,0,6,538216105355.0,0.800475570783656,True
2015-01-23,turnover_share_90_reference,347,484461210446.0,174.0,0,12,538216105355.0,0.9001239569493299,True
2015-01-30,top200_buffer100,300,425555624207.0,150.5,0,9,486014633090.0,0.8756024926685608,True
2015-01-30,top300_buffer100,400,445738872084.0,200.5,0,13,486014633090.0,0.9171305589094438,True
2015-01-30,top500_reference_only,500,458267289771.0,250.5,0,19,486014633090.0,0.9429084199737218,True
2015-01-30,turnover_share_80_reference,196,388938686546.0,98.5,0,5,486014633090.0,0.8002612680058472,True
2015-01-30,turnover_share_90_reference,353,437458211935.0,177.0,0,12,486014633090.0,0.9000926765387981,True
2015-02-06,top200_buffer100,300,390725597319.0,150.5,0,13,443889265365.0,0.8802321385215641,True
2015-02-06,top300_buffer100,400,408455859262.0,200.5,0,16,443889265365.0,0.9201751227890949,True
2015-02-06,top500_reference_only,500,419702343741.0,250.5,0,20,443889265365.0,0.9455113617038888,True
2015-02-06,turnover_share_80_reference,191,355375542168.0,96.0,0,5,443889265365.0,0.8005950355113517,True
2015-02-06,turnover_share_90_reference,345,399673293438.0,173.0,0,14,443889265365.0,0.9003896345845575,True
2015-02-13,top200_buffer100,300,387068338106.0,150.5,0,13,439460101412.0,0.8807815245623811,True
2015-02-13,top300_buffer100,400,404681580939.0,200.5,0,18,439460101412.0,0.9208608008753116,True
2015-02-13,top500_reference_only,500,415522405304.0,250.5,0,23,439460101412.0,0.9455293073680924,True
2015-02-13,turnover_share_80_reference,186,351741101565.0,93.5,0,7,439460101412.0,0.8003937113627473,True
2015-02-13,turnover_share_90_reference,342,395596280220.0,171.5,0,14,439460101412.0,0.9001870225509345,True
2015-02-26,top200_buffer100,300,443417410255.0,150.5,0,11,502967701310.0,0.8816021567589751,True
2015-02-26,top300_buffer100,400,464400383211.0,200.5,0,18,502967701310.0,0.9233204875809126,True
