snapshot_date,ticker,name,market,layer1_pass_bottom30,layer1_quality_floor_risk_pctile_by_week,name_revenue,market_revenue,asof_date,latest_revenue_year_month,monthly_revenue_yoy,trailing_3m_revenue_yoy,quarterly_revenue_yoy,quarterly_revenue_source_quality,ttm_revenue,ttm_revenue_yoy,3y_revenue_cagr,3y_revenue_trend_score,5y_revenue_cagr,5y_revenue_trend_score,revenue_stability_score,revenue_lumpiness_score,recent_spike_without_long_history_flag,project_based_revenue_risk_proxy,revenue_month_count_available,revenue_3y_month_count_available,revenue_5y_month_count_available,data_coverage,missingness,pit_asof_audit,source_quality,feature_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,quarterly_margin_profitability_source_quality,project_based_revenue_risk_proxy_source_quality
2026-06-29,2382,廣達,TWSE,True,0.3902027027027027,廣達,TWSE,2026-06-29,2026-05,0.9438123673778152,1.00119450275536,1.00119450275536,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,2784387643000.0,0.5897568647867664,0.18336726735916464,0.7666666666666666,0.1425206876959486,0.8599999999999999,0.758462464902447,0.19645869349997,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2330,台積電,TWSE,True,0.3902027027027027,台積電,TWSE,2026-06-29,2026-05,0.3009498020271697,0.3000421977237073,0.3000421977237073,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,4261521438000.0,0.27386088818391174,0.18937972391437508,0.7666666666666666,0.23251095771295405,0.8599999999999999,0.7255584089049406,0.1279288609811254,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2891,中信金,TWSE,True,0.3902027027027027,中信金,TWSE,2026-06-29,2026-05,0.7607717853135731,0.296305182168217,0.296305182168217,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,261146307000.0,0.32073658847372344,0.20686335477070683,0.7666666666666666,0.04729656984898023,0.58,0.7372567738488665,0.13966474914259497,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,4904,遠傳,TWSE,True,0.3902027027027027,遠傳,TWSE,2026-06-29,2026-05,0.13726679089405058,0.0947926562776582,0.0947926562776582,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,114226746000.0,0.08374605107618716,0.07368355237007962,1.0,0.06776799556193502,1.0,0.659215468833026,0.08544747893988644,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2884,玉山金,TWSE,True,0.3902027027027027,玉山金,TWSE,2026-06-29,2026-05,0.2475649862484781,0.26821975874274173,0.26821975874274173,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,100594041000.0,0.2312138469385443,0.18752436735221534,1.0,0.10286445821075874,0.8599999999999999,0.7339066884528287,0.10519610104920332,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,3293,鈊象,TPEx,True,0.3902027027027027,鈊象,TPEx,2026-06-29,2026-05,0.11955604403714215,0.14815628275798143,0.14815628275798143,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,23437422000.0,0.14769619941005652,0.22627974093054304,1.0,0.21196461571665548,1.0,0.7135480609527455,0.1017560660294362,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2347,聯強,TWSE,True,0.3902027027027027,聯強,TWSE,2026-06-29,2026-05,1.2971491456853417,0.9144734270437989,0.9144734270437989,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,509570338000.0,0.23634736660623967,-0.01236372525391738,0.5208460124403806,0.04145125994723009,0.7075126791070474,0.6562733200571489,0.12777740203240928,True,True,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2887,台新新光金,TWSE,True,0.3902027027027027,台新新光金,TWSE,2026-06-29,2026-05,1.1787971627074878,1.0588882527551569,1.0588882527551569,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,191912210000.0,1.1095904387967934,0.3140386762817846,1.0,0.27947915469395834,1.0,0.7829375708015658,0.20448023447343366,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2356,英業達,TWSE,True,0.3902027027027027,英業達,TWSE,2026-06-29,2026-05,0.3530032995276391,0.3956417128037317,0.3956417128037317,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,778737315000.0,0.12389838538640263,0.08458201355700856,0.7666666666666666,0.06339291341291187,0.8599999999999999,0.6474611705161848,0.11941911211536173,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
2026-06-29,2412,中華電,TWSE,True,0.3902027027027027,中華電,TWSE,2026-06-29,2026-05,0.0539252921537019,0.06868421163164617,0.06868421163164617,proxy_from_monthly_revenue_rolling_3m_not_statement_revenue,242742755000.0,0.0442567857917231,0.028950277120583623,1.0,0.026062699117670673,1.0,0.6355626322077942,0.0800852664791619,False,False,137,36,60,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;conservative_available_date_not_exact_filing_timestamp,MOPS_monthly_revenue_PIT_conservative_available_date,latest_layer4_primary80,True,False,False,False,False,False,False,False,True,False,existing_layer1_interim_or_quarterly_source_partial;not_refreshed_in_this_contract,proxy_from_monthly_revenue_lumpiness_and_recent_spike_not_industry_contract
