ticker,market,report_period,t164sb05_status,t164sb03_status,cashflow_fields_available,balance_sheet_fields_available,current_ratio_available,official_announcement_timestamp_matched,market_available_at,announcement_subject,after_close_next_trading_day_policy,candidate_count,t05st01_query_payload,detail_payload,detail_period,detail_note,official_asof_policy,quarter_end_date_used_as_available_at,query_response_datetime_used_as_available_at,conservative_deadline_proxy_used_as_available_at,exact_internal_upload_timestamp_found,after_close_next_trading_day_policy_applies,accepted_for_experiments,accepted_for_formal,diagnostic_only
1101,TWSE,115Q1,code=200 rows=75,code=200 rows=70,True,True,True,True,115/05/13 19:18:38,公告本公司董事會通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1101"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""1101"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
1101,TWSE,114Q4,code=200 rows=91,code=200 rows=69,True,True,True,True,115/03/11 19:21:45,公告本公司董事會通過114年第4季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1101"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""1101"", ""marketKind"": ""sii"", ""enterDate"": ""1150311""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
1216,TWSE,115Q1,code=200 rows=88,code=200 rows=77,True,True,True,True,115/05/07 16:40:30,公告本公司董事會通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1216"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""1216"", ""marketKind"": ""sii"", ""enterDate"": ""1150507""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
1216,TWSE,114Q4,code=200 rows=90,code=200 rows=77,True,True,True,True,115/03/05 17:12:10,公告本公司董事會通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1216"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""1216"", ""marketKind"": ""sii"", ""enterDate"": ""1150305""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
1301,TWSE,115Q1,code=200 rows=62,code=200 rows=61,True,True,True,True,115/05/13 15:37:52,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1301"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""1301"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
1301,TWSE,114Q4,code=200 rows=77,code=200 rows=64,True,True,True,True,115/03/06 17:05:08,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""1301"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""1301"", ""marketKind"": ""sii"", ""enterDate"": ""1150306""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2330,TWSE,115Q1,code=200 rows=74,code=200 rows=69,True,True,True,True,115/05/12 18:33:04,"本公司民國115年度第一季合併財務報告業經
董事會決議通過",required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2330"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""3"", ""companyId"": ""2330"", ""marketKind"": ""sii"", ""enterDate"": ""1150512""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2330,TWSE,114Q4,code=200 rows=81,code=200 rows=68,True,True,True,True,115/02/10 18:16:19,"本公司民國114年度合併財務報告業經
董事會決議通過",required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2330"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""3"", ""companyId"": ""2330"", ""marketKind"": ""sii"", ""enterDate"": ""1150210""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2308,TWSE,115Q1,code=200 rows=76,code=200 rows=74,True,True,True,True,115/04/29 17:36:13,公告本公司115年第1季合併財務報告業經董事會通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2308"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2308"", ""marketKind"": ""sii"", ""enterDate"": ""1150428""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2308,TWSE,114Q4,code=200 rows=80,code=200 rows=73,True,True,True,True,115/02/25 18:50:01,公告本公司114年度合併財務報告業經提報董事會通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2308"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""5"", ""companyId"": ""2308"", ""marketKind"": ""sii"", ""enterDate"": ""1150220""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2317,TWSE,115Q1,code=200 rows=83,code=200 rows=77,True,True,True,True,115/05/14 14:15:12,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2317"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2317"", ""marketKind"": ""sii"", ""enterDate"": ""1150514""}",115/1/1~115/3/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2317,TWSE,114Q4,code=200 rows=89,code=200 rows=77,True,True,True,True,115/03/16 14:15:14,公告本公司董事會通過114年第四季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2317"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2317"", ""marketKind"": ""sii"", ""enterDate"": ""1150316""}",114/1/1~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2454,TWSE,115Q1,code=200 rows=71,code=200 rows=65,True,True,True,True,115/04/30 17:58:34,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150428""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2454,TWSE,114Q4,code=200 rows=81,code=200 rows=65,True,True,True,True,115/02/26 17:08:56,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150224""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2881,TWSE,115Q1,code=200 rows=83,code=200 rows=59,True,False,False,True,115/05/21 17:54:45,公告本公司董事會決議通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2881"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2881"", ""marketKind"": ""sii"", ""enterDate"": ""1150521""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
