period,horizon,available_rows,mean_excess_vs_0050,median_excess_vs_0050,mean_excess_vs_00631L,median_excess_vs_00631L,win_both_rate,fail_0050_rate,evaluation_metadata_only
ALL,5,169985,0.0007519339907692788,-0.0056521287959989674,-0.003053355289537308,-0.009364836512384178,0.3604200370620937,0.5556196134953084,True
ALL,10,169636,-0.00011484594511401852,-0.010016864006149762,-0.007992330211346045,-0.016751434258845954,0.34463793062793274,0.5673736706831097,True
ALL,20,169040,0.001092795863813762,-0.01935512740579859,-0.015180201725416044,-0.03156757719555009,0.3279223852342641,0.5855418835778514,True
ALL,40,167835,-0.009067991182948043,-0.034135379500431884,-0.04084468435819147,-0.05733253269090932,0.3093276134298567,0.6036345220007746,True
P1,5,118395,-0.0011123193257293502,-0.004397520715773373,-0.004125076915116603,-0.00794733471436948,0.36472824021284683,0.5469065416613877,True
P1,10,118345,-0.0018561066011612002,-0.007985651383487724,-0.00865783658934903,-0.014523906362378103,0.3477459968735477,0.5584097342515527,True
P1,20,118333,0.0016242927644671125,-0.016098188902617716,-0.01235588787627346,-0.027978003723996947,0.3321220623156685,0.5760945805481142,True
P1,40,118067,-0.006998211329808568,-0.02724738804482285,-0.03316072262677023,-0.04939685559902973,0.32099570582804676,0.5886318785096598,True
P2,5,51298,0.005173629703202925,-0.009357935806319995,-0.0002564849398741249,-0.01340432513069556,0.3517681001208624,0.5749736831845296,True
P2,10,50999,0.004193571350215341,-0.015740515352984263,-0.005944777990644044,-0.0229087286302041,0.33888899782348675,0.5869134688915469,True
P2,20,50415,-2.793059629609554e-05,-0.028981195949661087,-0.021190294119962698,-0.04161444624969346,0.3190915402162055,0.6072994148566895,True
P2,40,49476,-0.014169034146137512,-0.056074522239352165,-0.058922934288440254,-0.08253972432544676,0.2819953108577896,0.6396838871371978,True
2024_latest,5,36541,0.006761010813673918,-0.01258908094188449,0.001528041299939014,-0.01632673400522555,0.3389069811992009,0.5920472893462139,True
2024_latest,10,36247,0.004246955940685911,-0.021768084177129388,-0.005960187587024749,-0.028845961564534006,0.3207989626727729,0.6087676221480398,True
2024_latest,20,35661,-0.003407627138815049,-0.04063303023582732,-0.02639592651138054,-0.05347479027646518,0.29825299346625167,0.6339418412271108,True
2024_latest,40,34717,-0.024594963433775097,-0.0769656861880641,-0.07337468252109823,-0.1034806534159396,0.2616297491142668,0.6694414839991935,True
2026YTD,5,6749,0.0021381766557137844,-0.012202742113815002,-0.01734412793758925,-0.02558041650566012,0.33590161505408206,0.566602459623648,True
2026YTD,10,6460,0.006790727697668655,-0.020166212466742273,-0.03048689355913843,-0.048141760645605935,0.34009287925696596,0.5721362229102167,True
2026YTD,20,5884,0.013820869039658333,-0.036138299424295584,-0.059167674908031216,-0.09070044744086947,0.3174711080897349,0.5742692046227057,True
2026YTD,40,4929,0.026433199428160786,-0.07334866411454155,-0.12931840185316326,-0.18906785277665672,0.26617975248529113,0.6015418949076892,True
