period,feature,rows,available_rows,missing_rows,available_share,source_quality
ALL,RS5,171499,171056,443,0.997416894559152,exact_from_stock_features_pit
ALL,RS10,171499,170625,874,0.9949037603717806,exact_from_stock_features_pit
ALL,RS20,171499,169823,1676,0.9902273482644214,exact_from_stock_features_pit
ALL,RS30_proxy,171499,169823,1676,0.9902273482644214,proxy_midpoint_rs20_rs40
ALL,RS40,171499,168314,3185,0.9814284631397268,exact_from_stock_features_pit
ALL,RS60,171499,166680,4819,0.9719007107913166,exact_from_stock_features_pit
P1,RS5,119058,118638,420,0.996472307614776,exact_from_stock_features_pit
P1,RS10,119058,118242,816,0.9931461976515648,exact_from_stock_features_pit
P1,RS20,119058,117491,1567,0.9868383476960809,exact_from_stock_features_pit
P1,RS30_proxy,119058,117491,1567,0.9868383476960809,proxy_midpoint_rs20_rs40
P1,RS40,119058,116063,2995,0.9748441935863192,exact_from_stock_features_pit
P1,RS60,119058,114492,4566,0.9616489442120647,exact_from_stock_features_pit
P2,RS5,52149,52126,23,0.9995589560681892,exact_from_stock_features_pit
P2,RS10,52149,52092,57,0.9989069780820342,exact_from_stock_features_pit
P2,RS20,52149,52042,107,0.9979481869259238,exact_from_stock_features_pit
P2,RS30_proxy,52149,52042,107,0.9979481869259238,proxy_midpoint_rs20_rs40
P2,RS40,52149,51962,187,0.9964141210761472,exact_from_stock_features_pit
P2,RS60,52149,51899,250,0.9952060442194481,exact_from_stock_features_pit
2024_latest,RS5,37387,37372,15,0.9995987910236178,exact_from_stock_features_pit
2024_latest,RS10,37387,37346,41,0.9989033621312221,exact_from_stock_features_pit
2024_latest,RS20,37387,37310,77,0.9979404605879049,exact_from_stock_features_pit
2024_latest,RS30_proxy,37387,37310,77,0.9979404605879049,proxy_midpoint_rs20_rs40
2024_latest,RS40,37387,37258,129,0.9965496028031133,exact_from_stock_features_pit
2024_latest,RS60,37387,37212,175,0.9953192286088748,exact_from_stock_features_pit
2026YTD,RS5,7544,7541,3,0.9996023329798516,exact_from_stock_features_pit
2026YTD,RS10,7544,7534,10,0.9986744432661718,exact_from_stock_features_pit
2026YTD,RS20,7544,7530,14,0.9981442205726405,exact_from_stock_features_pit
2026YTD,RS30_proxy,7544,7530,14,0.9981442205726405,proxy_midpoint_rs20_rs40
2026YTD,RS40,7544,7516,28,0.996288441145281,exact_from_stock_features_pit
2026YTD,RS60,7544,7503,41,0.9945652173913043,exact_from_stock_features_pit
