period,feature,rows,available_rows,missing_rows,available_share
ALL,traded_value_rank_20d,171499,171499,0,1.0
ALL,traded_value_rank_60d,171499,171499,0,1.0
ALL,capital_reasonable_band_4w_count,171499,171499,0,1.0
ALL,RS20,171499,169823,1676,0.9902273482644214
ALL,RS30_proxy,171499,169823,1676,0.9902273482644214
ALL,RS60,171499,166680,4819,0.9719007107913166
ALL,BIAS20_percentile,171499,170123,1376,0.9919766296013388
ALL,BIAS60_percentile,171499,166896,4603,0.9731601933538971
ALL,volatility,171499,169823,1676,0.9902273482644214
ALL,stable_strong_protection_candidate,171499,171499,0,1.0
P1,traded_value_rank_20d,119058,119058,0,1.0
P1,traded_value_rank_60d,119058,119058,0,1.0
P1,capital_reasonable_band_4w_count,119058,119058,0,1.0
P1,RS20,119058,117491,1567,0.9868383476960809
P1,RS30_proxy,119058,117491,1567,0.9868383476960809
P1,RS60,119058,114492,4566,0.9616489442120647
P1,BIAS20_percentile,119058,117789,1269,0.9893413294360732
P1,BIAS60_percentile,119058,114705,4353,0.9634379882074283
P1,volatility,119058,117491,1567,0.9868383476960809
P1,stable_strong_protection_candidate,119058,119058,0,1.0
P2,traded_value_rank_20d,52149,52149,0,1.0
P2,traded_value_rank_60d,52149,52149,0,1.0
P2,capital_reasonable_band_4w_count,52149,52149,0,1.0
P2,RS20,52149,52042,107,0.9979481869259238
P2,RS30_proxy,52149,52042,107,0.9979481869259238
P2,RS60,52149,51899,250,0.9952060442194481
P2,BIAS20_percentile,52149,52044,105,0.9979865385721682
P2,BIAS60_percentile,52149,51902,247,0.9952635716888147
P2,volatility,52149,52042,107,0.9979481869259238
P2,stable_strong_protection_candidate,52149,52149,0,1.0
2024_latest,traded_value_rank_20d,37387,37387,0,1.0
2024_latest,traded_value_rank_60d,37387,37387,0,1.0
2024_latest,capital_reasonable_band_4w_count,37387,37387,0,1.0
2024_latest,RS20,37387,37310,77,0.9979404605879049
2024_latest,RS30_proxy,37387,37310,77,0.9979404605879049
2024_latest,RS60,37387,37212,175,0.9953192286088748
2024_latest,BIAS20_percentile,37387,37312,75,0.9979939551180892
2024_latest,BIAS60_percentile,37387,37214,173,0.995372723139059
2024_latest,volatility,37387,37310,77,0.9979404605879049
2024_latest,stable_strong_protection_candidate,37387,37387,0,1.0
2026YTD,traded_value_rank_20d,7544,7544,0,1.0
2026YTD,traded_value_rank_60d,7544,7544,0,1.0
2026YTD,capital_reasonable_band_4w_count,7544,7544,0,1.0
2026YTD,RS20,7544,7530,14,0.9981442205726405
2026YTD,RS30_proxy,7544,7530,14,0.9981442205726405
2026YTD,RS60,7544,7503,41,0.9945652173913043
2026YTD,BIAS20_percentile,7544,7530,14,0.9981442205726405
2026YTD,BIAS60_percentile,7544,7504,40,0.9946977730646872
2026YTD,volatility,7544,7530,14,0.9981442205726405
2026YTD,stable_strong_protection_candidate,7544,7544,0,1.0
