period,feature,rows,available_rows,missing_rows,available_share
ALL,momentum_continuation_score,171499,171499,0,1.0
ALL,pullback_repair_score,171499,171499,0,1.0
ALL,overlap_reacceleration_score,171499,171499,0,1.0
ALL,neutral_quality_liquidity_score,171499,171499,0,1.0
ALL,exhaustion_risk_score,171499,171499,0,1.0
ALL,breakdown_risk_score,171499,171499,0,1.0
ALL,RS20,171499,169823,1676,0.9902273482644214
ALL,RS30_proxy,171499,169823,1676,0.9902273482644214
ALL,RS60,171499,166680,4819,0.9719007107913166
ALL,BIAS20_percentile,171499,170123,1376,0.9919766296013388
ALL,BIAS60_percentile,171499,166896,4603,0.9731601933538971
ALL,drawdown_20d,171499,170123,1376,0.9919766296013388
ALL,drawdown_60d,171499,166896,4603,0.9731601933538971
ALL,MA20_position,171499,170123,1376,0.9919766296013388
ALL,MA60_position,171499,166896,4603,0.9731601933538971
ALL,forward_excess_vs_00631L_5d,171499,169985,1514,0.9911719601863568
ALL,forward_excess_vs_00631L_10d,171499,169636,1863,0.9891369628977429
ALL,forward_excess_vs_00631L_20d,171499,169040,2459,0.9856617239750669
ALL,forward_excess_vs_00631L_30d,171499,168426,3073,0.982081528172176
ALL,forward_excess_vs_00631L_40d,171499,167835,3664,0.9786354439384486
P1,momentum_continuation_score,119058,119058,0,1.0
P1,pullback_repair_score,119058,119058,0,1.0
P1,overlap_reacceleration_score,119058,119058,0,1.0
P1,neutral_quality_liquidity_score,119058,119058,0,1.0
P1,exhaustion_risk_score,119058,119058,0,1.0
P1,breakdown_risk_score,119058,119058,0,1.0
P1,RS20,119058,117491,1567,0.9868383476960809
P1,RS30_proxy,119058,117491,1567,0.9868383476960809
P1,RS60,119058,114492,4566,0.9616489442120647
P1,BIAS20_percentile,119058,117789,1269,0.9893413294360732
P1,BIAS60_percentile,119058,114705,4353,0.9634379882074283
P1,drawdown_20d,119058,117789,1269,0.9893413294360732
P1,drawdown_60d,119058,114705,4353,0.9634379882074283
P1,MA20_position,119058,117789,1269,0.9893413294360732
P1,MA60_position,119058,114705,4353,0.9634379882074283
P1,forward_excess_vs_00631L_5d,119058,118395,663,0.9944312855918964
P1,forward_excess_vs_00631L_10d,119058,118345,713,0.994011322212703
P1,forward_excess_vs_00631L_20d,119058,118333,725,0.9939105310016967
P1,forward_excess_vs_00631L_30d,119058,118084,974,0.9918191133733139
P1,forward_excess_vs_00631L_40d,119058,118067,991,0.9916763258243881
P2,momentum_continuation_score,52149,52149,0,1.0
P2,pullback_repair_score,52149,52149,0,1.0
P2,overlap_reacceleration_score,52149,52149,0,1.0
P2,neutral_quality_liquidity_score,52149,52149,0,1.0
P2,exhaustion_risk_score,52149,52149,0,1.0
P2,breakdown_risk_score,52149,52149,0,1.0
P2,RS20,52149,52042,107,0.9979481869259238
P2,RS30_proxy,52149,52042,107,0.9979481869259238
P2,RS60,52149,51899,250,0.9952060442194481
P2,BIAS20_percentile,52149,52044,105,0.9979865385721682
P2,BIAS60_percentile,52149,51902,247,0.9952635716888147
P2,drawdown_20d,52149,52044,105,0.9979865385721682
P2,drawdown_60d,52149,51902,247,0.9952635716888147
P2,MA20_position,52149,52044,105,0.9979865385721682
P2,MA60_position,52149,51902,247,0.9952635716888147
P2,forward_excess_vs_00631L_5d,52149,51298,851,0.9836813745230014
P2,forward_excess_vs_00631L_10d,52149,50999,1150,0.9779478034094613
