layer4_pool_role,layer4_pool_variant,pool_size_target,snapshot_date,selected_count,shortfall_count,is_layer4_primary_pool,reference_only,two_plus_opportunity_share,neutral_medium_high_share,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,period,fallback_00631L_is_ordinary_stock_pool_member
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-01-09,100,0,False,True,0.13,1.0,1.0,55.68,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-01-16,100,0,False,True,0.59,1.0,1.0,55.58,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-01-23,100,0,False,True,0.56,1.0,1.0,62.73,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-01-30,100,0,False,True,0.64,1.0,1.0,80.06,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-02-06,100,0,False,True,1.0,1.0,0.0,88.2,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-02-13,100,0,False,True,1.0,1.0,0.0,92.54,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-02-26,100,0,False,True,1.0,1.0,0.0,95.64,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-03-06,100,0,False,True,1.0,1.0,0.0,108.38,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-03-13,100,0,False,True,1.0,1.0,0.03,103.55,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-03-20,100,0,False,True,1.0,1.0,0.03,105.08,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-03-27,100,0,False,True,1.0,1.0,0.01,113.71,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-04-02,100,0,False,True,1.0,1.0,0.03,102.69,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-04-10,100,0,False,True,1.0,1.0,0.01,107.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-04-17,100,0,False,True,1.0,1.0,0.04,109.24,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-04-24,100,0,False,True,1.0,1.0,0.02,107.7,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-04-30,100,0,False,True,1.0,1.0,0.0,107.95,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-05-08,100,0,False,True,1.0,1.0,0.0,110.07,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-05-15,100,0,False,True,1.0,1.0,0.0,103.33,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-05-22,100,0,False,True,1.0,1.0,0.0,105.66,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-05-29,100,0,False,True,1.0,1.0,0.04,114.65,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-06-05,100,0,False,True,1.0,1.0,0.04,119.13,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-06-12,100,0,False,True,1.0,1.0,0.03,103.96,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-06-18,100,0,False,True,1.0,1.0,0.02,121.0,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-06-26,100,0,False,True,1.0,1.0,0.03,108.19,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-07-03,100,0,False,True,1.0,1.0,0.0,108.3,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-07-09,100,0,False,True,1.0,1.0,0.04,117.76,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-07-17,100,0,False,True,1.0,1.0,0.03,108.44,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-07-24,100,0,False,True,1.0,1.0,0.01,125.51,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-07-31,100,0,False,True,1.0,1.0,0.03,113.86,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-08-07,100,0,False,True,1.0,1.0,0.04,118.05,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-08-14,100,0,False,True,1.0,1.0,0.04,119.87,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-08-21,100,0,False,True,1.0,1.0,0.03,110.96,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-08-28,100,0,False,True,1.0,1.0,0.08,123.22,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-09-04,100,0,False,True,1.0,1.0,0.09,107.15,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-09-11,100,0,False,True,1.0,1.0,0.1,117.39,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-09-18,100,0,False,True,1.0,1.0,0.15,103.22,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-09-25,100,0,False,True,1.0,1.0,0.23,109.7,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-10-02,100,0,False,True,0.98,1.0,0.26,113.44,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-10-08,100,0,False,True,1.0,1.0,0.06,124.48,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-10-16,100,0,False,True,1.0,1.0,0.05,146.73,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-10-23,100,0,False,True,1.0,1.0,0.02,148.64,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-10-30,100,0,False,True,1.0,1.0,0.05,142.92,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-11-06,100,0,False,True,1.0,1.0,0.07,130.64,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-11-13,100,0,False,True,1.0,1.0,0.03,129.44,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-11-20,100,0,False,True,1.0,1.0,0.05,132.87,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-11-27,100,0,False,True,1.0,1.0,0.08,129.78,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-12-04,100,0,False,True,1.0,1.0,0.05,126.61,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-12-11,100,0,False,True,1.0,1.0,0.03,133.91,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-12-18,100,0,False,True,1.0,1.0,0.02,118.24,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-12-25,100,0,False,True,1.0,1.0,0.07,130.31,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2015-12-31,100,0,False,True,1.0,1.0,0.03,126.36,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-01-08,100,0,False,True,1.0,1.0,0.03,130.82,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-01-15,100,0,False,True,1.0,1.0,0.0,130.68,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-01-22,100,0,False,True,1.0,1.0,0.04,132.98,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-01-29,100,0,False,True,1.0,1.0,0.05,133.91,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-02-03,100,0,False,True,1.0,1.0,0.02,145.97,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-02-19,100,0,False,True,0.95,1.0,0.03,149.41,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-02-26,100,0,False,True,0.93,1.0,0.13,150.63,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-03-04,100,0,False,True,1.0,1.0,0.19,131.48,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-03-11,100,0,False,True,0.98,1.0,0.24,132.67,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-03-18,100,0,False,True,0.99,1.0,0.22,131.13,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-03-25,100,0,False,True,0.98,1.0,0.13,156.74,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-04-01,100,0,False,True,0.97,1.0,0.06,153.91,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-04-08,100,0,False,True,0.99,1.0,0.05,155.82,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-04-15,100,0,False,True,0.99,1.0,0.03,148.14,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-04-22,100,0,False,True,1.0,1.0,0.0,133.62,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-04-29,100,0,False,True,1.0,1.0,0.01,132.42,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-05-06,100,0,False,True,1.0,1.0,0.01,128.02,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-05-13,100,0,False,True,1.0,1.0,0.02,140.87,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-05-20,100,0,False,True,1.0,1.0,0.02,145.47,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-05-27,100,0,False,True,1.0,1.0,0.04,131.03,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-06-03,100,0,False,True,1.0,1.0,0.01,134.93,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-06-08,100,0,False,True,1.0,1.0,0.01,133.43,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-06-17,100,0,False,True,1.0,1.0,0.02,126.75,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-06-24,100,0,False,True,1.0,1.0,0.03,127.38,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-07-01,100,0,False,True,1.0,1.0,0.0,130.88,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-07-07,100,0,False,True,1.0,1.0,0.02,128.32,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-07-15,100,0,False,True,1.0,1.0,0.03,133.48,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-07-22,100,0,False,True,1.0,1.0,0.02,133.42,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-07-29,100,0,False,True,1.0,1.0,0.0,128.76,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-08-05,100,0,False,True,1.0,1.0,0.01,137.06,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-08-12,100,0,False,True,1.0,1.0,0.0,140.53,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-08-19,100,0,False,True,1.0,1.0,0.01,131.87,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-08-26,100,0,False,True,1.0,1.0,0.05,129.28,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-09-02,100,0,False,True,1.0,1.0,0.0,127.76,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-09-09,100,0,False,True,1.0,1.0,0.03,130.79,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-09-14,100,0,False,True,1.0,1.0,0.01,129.58,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-09-23,100,0,False,True,0.99,1.0,0.01,133.49,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-09-30,100,0,False,True,1.0,1.0,0.03,138.28,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-10-07,100,0,False,True,1.0,1.0,0.03,137.91,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-10-14,100,0,False,True,1.0,1.0,0.03,123.15,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-10-21,100,0,False,True,1.0,1.0,0.02,118.45,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-10-28,100,0,False,True,1.0,1.0,0.03,133.01,P1,False
extended_100_watchlist_reference,C_risk_aware_retention_constrained_quota_100,100,2016-11-04,100,0,False,True,1.0,1.0,0.01,132.32,P1,False
