snapshot_date,pool_size_target,layer4_pool_variant,pool_variant_family,selected_count,target_pool_size,shortfall_count,two_plus_opportunity_count,two_plus_opportunity_share,momentum_medium_high_count,pullback_medium_high_count,overlap_medium_high_count,neutral_medium_high_count,neutral_medium_high_share,high_exhaustion_or_breakdown_count,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,median_traded_value_rank_20d,turnover_share_metadata_status,fallback_00631L_reference_only,fallback_00631L_is_ordinary_stock_pool_member,period
2015-01-09,31,C_quota_size_sensitive_broad_label_quota_31,c_quota_style,31,31,0,13,0.41935483870967744,13,0,0,31,1.0,31,1.0,16.322580645161292,16.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,31,C_retention_friendly_retention_constrained_quota_31,retention_friendly_c_quota,31,31,0,13,0.41935483870967744,13,0,0,31,1.0,31,1.0,16.322580645161292,16.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,31,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,31,0,13,0.41935483870967744,13,0,0,31,1.0,31,1.0,16.322580645161292,16.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,40,C_quota_size_sensitive_broad_label_quota_40,c_quota_style,40,40,0,13,0.325,13,0,0,40,1.0,40,1.0,21.775,20.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,40,C_retention_friendly_retention_constrained_quota_40,retention_friendly_c_quota,40,40,0,13,0.325,13,0,0,40,1.0,40,1.0,21.775,20.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,40,C_risk_aware_retention_constrained_quota_40,risk_aware_c_quota,40,40,0,13,0.325,13,0,0,40,1.0,40,1.0,21.775,20.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,50,C_quota_size_sensitive_broad_label_quota_50,c_quota_style,50,50,0,13,0.26,13,0,0,50,1.0,50,1.0,27.56,25.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,50,C_retention_friendly_retention_constrained_quota_50,retention_friendly_c_quota,50,50,0,13,0.26,13,0,0,50,1.0,50,1.0,27.56,25.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,50,C_risk_aware_retention_constrained_quota_50,risk_aware_c_quota,50,50,0,13,0.26,13,0,0,50,1.0,50,1.0,27.56,25.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,60,C_quota_size_sensitive_broad_label_quota_60,c_quota_style,60,60,0,13,0.21666666666666667,13,0,0,60,1.0,60,1.0,33.333333333333336,34.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,60,C_retention_friendly_retention_constrained_quota_60,retention_friendly_c_quota,60,60,0,13,0.21666666666666667,13,0,0,60,1.0,60,1.0,33.333333333333336,34.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,60,C_risk_aware_retention_constrained_quota_60,risk_aware_c_quota,60,60,0,13,0.21666666666666667,13,0,0,60,1.0,60,1.0,33.333333333333336,34.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-09,80,C_quota_size_sensitive_broad_label_quota_80,c_quota_style,80,80,0,13,0.1625,13,0,0,80,1.0,80,1.0,41.675,41.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
