signal_date,score_variant,candidate_rank,integrated_rank,ticker,name,market,integrated_score,route_support_base_score,low_base_score,price_position_low_base,stock_specific_bias_score,recent_runup_penalty,recent_runup_inverse,improving_rs_score,liquidity_improvement,quality_support,overheat_veto_flag,overheat_inverse,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,consensus_trigger,prior_c2_allowed_exception_ticker,prior_single_exception_ticker,route_support_variant_count,route_support_mode_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20,BIAS60,BIAS120,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,volatility_pctile_by_week,exhaustion_risk_score,breakdown_risk_score,entry_date,exit_date,entry_open,entry_close,exit_close,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,official_unadjusted_ohlc_path_ready,adjusted_close_ready,source_quality,entry_source_route,exit_source_route,total_cost_twd,cost_application_status,adjustment_policy,future_data_violation_count,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-30,baseline_route_support,1,1,2603,長榮,TWSE,0.6966148551220627,0.6966148551220627,0.5383523460366351,0.06285714285714286,0.856,0.30395277207392196,0.6960472279260781,0.50625,0.5962500000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.759375,0.7095596623317362,0.8,0.6741250000000001,1.0,True,2603.0,2603,4.0,2.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,low_risk_strength|pullback_repair,0.5017361111111112,True,,,,,26.0,27.0,27.0,-0.0366627244382325,,,0.0643394934976043,,,,0.0435,0.6599999999999999,2015-02-02,2015-02-09,22.05,21.6,22.4,0.0370370370370369,0.0309788533985686,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,6014.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,baseline_route_support,1,1,2316,楠梓電,TWSE,0.6107819115601689,0.6107819115601689,0.3405192621633742,0.0690556900726392,0.0,0.8828440604304635,0.11715593956953652,0.928875,0.3130813953488372,0.6482876712328768,True,0.30000000000000004,0.6482876712328768,0.02199367088607595,0.25,0.39686580206033856,1.0,0.8072319171136018,1.0,True,2316.0,2316,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.5017123287671232,True,0.2646774834377645,0.5371473423670845,0.5140247999970395,0.4009124129024245,196.0,157.0,258.0,0.0664193810130984,0.3248211971391541,,0.9192708333333334,0.9854304635761588,,0.7628865979381443,0.1629367383252543,0.0081355932203389,2015-05-04,2015-05-11,23.05,22.8,21.75,-0.0460526315789473,-0.0516251482159858,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,5646.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-05-15,baseline_route_support,1,1,3008,大立光,TWSE,0.6388777407677176,0.6388777407677176,0.4423811114473944,0.0896894409937887,0.08643478260869564,0.7808777740036232,0.21912222599637676,0.92075,0.7474999999999999,0.727319587628866,True,0.30000000000000004,0.727319587628866,0.09375,0.953125,0.5522154287439613,0.8,0.7738478260869566,1.0,True,3008.0,3008,4.0,2.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,low_risk_strength|pullback_repair,0.422680412371134,True,0.101620342293127,0.1138502755461317,0.0977600661705908,0.1077353089196293,8.0,5.0,5.0,-0.0065317313119909,0.0867711488135492,,0.744140625,0.927536231884058,,0.4827586206896552,0.290695652173913,0.0139130434782608,2015-05-18,2015-05-25,3115.0,3130.0,3465.0,0.1070287539936101,0.1005617601083316,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,6314.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-10-08,baseline_route_support,1,1,6143,振曜,TPEx,0.584283207569169,0.584283207569169,0.33322390753440945,0.06285714285714286,0.0,0.9702734598507241,0.029726540149275893,0.9369999999999999,0.2710629921259843,0.7298611111111112,True,0.30000000000000004,0.7298611111111112,0.015704113924050633,0.25,0.05548405193619973,1.0,0.8133989039968976,1.0,True,6143.0,6143,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.4201388888888889,True,0.3564414802216904,0.4413384241511353,0.2682307448361871,0.3988899521864129,182.0,202.0,254.0,0.1181976310776112,0.299847548744283,0.2154223592698463,0.9556135770234988,0.9842931937172776,0.976867151354924,0.3867595818815331,0.1417328511656944,0.0046715328467152,2015-10-12,2015-10-19,68.5,67.9,66.2,-0.0250368188512518,-0.0307322344389284,True,False,official_unadjusted_ohlcv_tpex_trading_stock,TPEX_TRADING_STOCK,TPEX_TRADING_STOCK,5739.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-10-16,baseline_route_support,1,1,8433,弘帆,TPEx,0.5721224022835281,0.5721224022835281,0.3313623200243777,0.06285714285714286,0.0,0.9953517538096592,0.004648246190340766,0.9369999999999999,0.2775,0.7356164383561644,True,0.30000000000000004,0.7356164383561644,0.0125,0.1875,0.010069755539320399,1.0,0.8025315241164959,0.75,True,8433.0,8433,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.4143835616438356,True,0.411140835283921,0.4951298031327906,0.5620987596844308,0.4531353192083558,114.0,230.0,300.0,0.3007960872053697,0.5134393413511986,0.4720025122176208,0.994781474233529,0.9967320261437908,0.9933818663136996,0.7620689655172413,0.1898739035340163,0.0,2015-10-19,2015-10-26,125.0,124.0,116.5,-0.0604838709677418,-0.0659722118197133,True,False,official_unadjusted_ohlcv_tpex_trading_stock,TPEX_TRADING_STOCK,TPEX_TRADING_STOCK,5582.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2016-02-26,baseline_route_support,1,1,3324,雙鴻,TPEx,0.5694226343389187,0.5694226343389187,0.31896528304227767,0.06285714285714286,0.0,0.9897456732798648,0.010254326720135154,0.928875,0.1651595744680851,0.8818339100346021,True,5.551115123125783e-17,0.8818339100346021,0.021914556962025315,0.25,0.015817692397534982,1.0,0.5856213558608332,1.0,True,3324.0,3324,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.2681660899653979,True,0.3053088053808945,0.7068843831566516,1.440876922800883,0.5060965942687731,298.0,119.0,94.0,0.1988532707844671,0.4815344975665616,1.0160701241782322,0.981457800511509,0.9954692556634304,0.9993464052287582,0.9027777777777778,0.1975145765566674,0.26,2016-03-01,2016-03-08,70.0,75.9,82.5,0.0869565217391303,0.0806065462861021,True,False,official_unadjusted_ohlcv_tpex_trading_stock,TPEX_TRADING_STOCK,TPEX_TRADING_STOCK,6235.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2017-02-03,baseline_route_support,1,1,3346,麗清,TWSE,0.6984874173044445,0.6984874173044445,0.5067551367228114,0.06285714285714286,0.856,0.6303961322520275,0.3696038677479725,0.7003125,0.32571428571428573,0.8947916666666668,True,0.35000000000000003,0.8947916666666668,0.25625,0.25,0.8068205448118112,1.0,0.6006349679716385,1.0,True,3346.0,3346,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.2552083333333333,True,0.4306293809098824,,,0.4306293809098824,201.0,116.0,210.0,0.0463279810476442,,,0.7897691827822833,,,0.9721254355400696,0.0974601281134458,0.3,2017-02-06,2017-02-13,79.5,77.1,96.0,0.245136186770428,0.2378631372502028,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,6934.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2017-05-12,baseline_route_support,1,1,1301,台塑,TWSE,0.5341679415703848,0.5341679415703848,0.4984327106638405,0.19501603750308408,0.7762107873527588,0.41774601046021115,0.5822539895397889,0.06812499999999999,0.5254807692307693,0.9068493150684932,False,1.0,0.9068493150684932,0.9156249999999999,0.734375,0.7988357223970134,0.0,0.891974481865285,1.0,True,1569.0,1569,0.0,0.0,,,0.2431506849315068,True,-0.0716746376656352,-0.0338289736409278,-0.0624892696693677,-0.0527518056532815,31.0,31.0,26.0,-0.0223248652809853,-0.0234882741702213,-0.0117097754391165,0.2954264524103832,0.5443273403595784,0.4471544715447154,0.0793103448275862,0.0068999999999999,0.4252020725388601,2017-05-15,2017-05-22,89.0,89.0,88.0,-0.0112359550561798,,True,False,official_unadjusted_ohlcv_selected_ticker_month,previous_p1_c2_top5_ohlc_package_or_selected_ticker_month_official_route,previous_p1_c2_top5_ohlc_package_or_selected_ticker_month_official_route,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2017-08-25,baseline_route_support,1,1,2603,長榮,TWSE,0.635916844991342,0.635916844991342,0.4063049817381946,0.06285714285714286,0.0,0.9817893447620076,0.018210655237992368,0.9369999999999999,0.6775,0.8667235494880546,True,0.30000000000000004,0.8667235494880546,0.021875000000000002,0.64375,0.036529938124536976,1.0,0.8070124685840235,1.0,True,2603.0,2603,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.2832764505119454,True,0.3295952441811793,0.3864958844882797,0.3960544109203641,0.3580455643347295,26.0,31.0,60.0,0.1994002998500748,0.3268998793727384,0.4419925715534193,0.9801611903285804,0.9838408949658172,0.981203007518797,0.6438356164383562,0.1719501256639058,0.0,2017-08-28,2017-09-04,22.1,21.8,21.5,-0.0137614678899082,-0.0195227183035807,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,5789.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2017-10-27,baseline_route_support,1,1,6121,新普,TPEx,0.607802997832062,0.607802997832062,0.38307767875713916,0.17494824016563132,0.0,0.7656289073457646,0.2343710926542354,0.9369999999999999,0.27137404580152674,0.8355670103092784,True,5.551115123125783e-17,0.8355670103092784,0.021875000000000002,0.25,0.3541294908326944,1.0,0.6621528976488732,1.0,True,6121.0,6121,5.0,2.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,rs20_top3_risk_tiebreak|stable_strength,0.3144329896907216,True,0.5633942313044091,0.6994890248660064,0.6709303025762823,0.6314416280852078,209.0,104.0,131.0,-0.0020426028596439,0.3732733697398008,0.5176280036387573,0.4981435643564356,0.985687616677038,0.981261711430356,1.0,0.1287797137523335,0.0226086956521738,2017-10-30,2017-11-06,173.5,171.0,185.5,0.0847953216374268,0.0784574866518453,True,False,official_unadjusted_ohlcv_tpex_trading_stock,TPEX_TRADING_STOCK,TPEX_TRADING_STOCK,6225.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
