signal_date,ticker,candidate_rank,blocked_item,blocked_reason,policy
2015-01-09,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-09,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-09,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-09,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-16,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-16,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-16,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-16,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-23,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-23,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-23,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-23,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-30,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-30,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-30,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-01-30,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-04-30,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-04-30,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-04-30,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-04-30,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-05-15,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-05-15,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-05-15,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-05-15,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-08,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-08,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-08,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-08,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-16,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-16,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-16,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2015-10-16,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-08,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-08,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-08,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-08,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-15,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-15,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-15,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-01-15,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-02-26,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-02-26,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-02-26,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-02-26,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-09-02,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-09-02,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-09-02,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2016-09-02,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-01-13,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-01-13,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-01-13,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-01-13,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-02-03,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-02-03,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-02-03,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-02-03,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-05-12,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-05-12,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-05-12,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-05-12,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-08-25,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-08-25,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-08-25,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-08-25,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-10-27,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-10-27,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-10-27,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-10-27,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-11-24,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-11-24,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-11-24,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2017-11-24,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-03-16,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-03-16,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-03-16,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-03-16,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-05-18,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-05-18,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-05-18,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-05-18,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-08,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-08,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-08,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-08,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-29,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-29,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-29,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-06-29,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-11-09,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-11-09,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-11-09,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2018-11-09,,5,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-05-24,,2,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-05-24,,3,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
2019-05-24,,4,rank_shortfall,no additional exact consensus4 candidate for this rank,leave blank; no Layer4 proxy backfill
