signal_date,entry_date,exit_date,candidate_rank,ticker,path_required_for_c2_top5_test,timing_variant,entry_price_kind,exit_price_kind,entry_close,exit_close,entry_open,gross_return_unadjusted,official_ohlc_path_ready,source_quality,blocked_reason,adjusted_close_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-12,2015-01-19,1,2330,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,3,3481,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,4,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-09,2015-01-12,2015-01-19,5,2409,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,1,2330,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,3,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,4,3474,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-19,2015-01-26,5,3481,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,1,2317,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,2,2454,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,3,3673,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,4,2303,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-26,2015-02-02,5,2357,False,next_day_close_entry_fixed_5td_exit,,,,,,,False,not_required_when_c2_gate_false,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,1,2603,True,next_day_close_entry_fixed_5td_exit,official_unadjusted_close,official_unadjusted_close,21.6,22.4,22.05,0.0370370370370369,True,official_unadjusted_ohlcv_twse_stock_day,,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,2,3045,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,3,3105,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,4,2448,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,5,3231,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,1,4938,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,2,4915,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,3,3035,True,next_day_close_entry_fixed_5td_exit,,,,,,,False,blocked_missing_selected_candidate_official_ohlc_path,missing_official_ohlc_path_for_layer4_top5_candidate,blocked_not_required_for_this_unadjusted_top5_contract,True,False,False,False,False,False,False,False,True,False
