signal_date,signal_family,variant,route_or_mode,ticker,name,market,recommendation_type,path_bucket,selected_rank,within80_rank,pool_rank,RS20,RS60,layer4_risk_aware_score,rs20_risk_context_score,rs20_31_bonus_score,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,0050_return_20d,0050_return_40d,0050_return_60d,0050_bias20,0050_bias60,0050_bias120,dynamic80_rs20_positive_share,dynamic80_rs60_positive_share,dynamic80_rs20_median,dynamic80_rs20_dispersion_top_minus_median,executable_ticker,source_signal_contract,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,統一,TWSE,stock,ordinary_stock,,30,30,,,0.3846936028717948,-0.0107653198564102,0.02,True,True,,,,,,,,,,,1216,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_legacy_rs20_operating_mode_runner_readiness_20260708\legacy_rs20_operating_mode_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,台泥,TWSE,stock,ordinary_stock,,63,63,,,0.3723831536410255,-0.0113808423179487,0.0,False,True,,,,,,,,,,,1101,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_legacy_rs20_operating_mode_runner_readiness_20260708\legacy_rs20_operating_mode_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,台泥,TWSE,stock,ordinary_stock,,63,63,,,0.3723831536410255,-0.0113808423179487,0.0,False,True,,,,,,,,,,,1101,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_legacy_rs20_operating_mode_runner_readiness_20260708\legacy_rs20_operating_mode_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1216,統一,TWSE,stock,ordinary_stock,,30,30,,,0.3846936028717948,-0.0107653198564102,0.02,True,True,,,,,,,,,,,1216,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_legacy_rs20_operating_mode_runner_readiness_20260708\legacy_rs20_operating_mode_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,conservative_hurdle_route,hurdle_reference,2330,台積電,TWSE,00631L,00631L_reference,,1,1,,,0.4359781813333332,,,,,0.0130168099001952,0.0176921196805308,,0.0072324703557,,,0.0,0.0,,,00631L,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_hybrid_route_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,dispersion_route,low_risk_strength,2330,台積電,TWSE,stock,ordinary_stock,,1,1,,,0.4359781813333332,,,,,0.0130168099001952,0.0176921196805308,,0.0072324703557,,,0.0,0.0,,,2330,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_hybrid_route_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2330,台積電,TWSE,stock,ordinary_stock,,1,1,,,0.4359781813333332,,,,,0.0130168099001952,0.0176921196805308,,0.0072324703557,,,0.0,0.0,,,2330,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_hybrid_route_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,market_bias_pool_trend_route,pullback_repair,2330,台積電,TWSE,stock,ordinary_stock,,1,1,,,0.4359781813333332,,,,,0.0130168099001952,0.0176921196805308,,0.0072324703557,,,0.0,0.0,,,2330,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_hybrid_route_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-09,regime_switch,pool_breadth_route,low_risk_strength,2330,台積電,TWSE,stock,ordinary_stock,,1,1,,,0.4359781813333332,,,,,0.0130168099001952,0.0176921196805308,,0.0072324703557,,,0.0,0.0,,,2330,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_regime_switch_hybrid_route_market_fields_path_materialization_20260708\regime_switch_hybrid_route_signal_table.csv,True,False,False,False,False,False,False,True,False
2015-01-16,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1314,中石化,TWSE,stock,ordinary_stock,,22,22,,,0.4331651430354609,-0.0083417428482269,0.02,True,True,,,,,,,,,,,1314,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_legacy_rs20_operating_mode_runner_readiness_20260708\legacy_rs20_operating_mode_signal_table.csv,True,False,False,False,False,False,False,True,False
