ticker,name,required_trade_path_rows,signal_family_count,first_signal_date,last_signal_date,required_price_start,required_price_end_with_exit_buffer,required_columns,requested_source_scope,source_request_reason,do_not_use_00631L_plus_excess_reconstruction,adjusted_close_required,adjusted_close_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
3293,鈊象,138,2,2015-07-24,2021-05-28,2015-07-24,2021-06-07,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
2603,長榮,114,2,2015-01-30,2022-09-30,2015-01-30,2022-10-11,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
2330,台積電,87,1,2015-01-09,2022-12-02,2015-01-09,2022-12-12,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
3532,台勝科,87,2,2017-03-10,2021-11-26,2017-03-10,2021-12-06,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
4119,旭富,87,2,2015-07-31,2020-04-01,2015-07-31,2020-04-13,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
2368,金像電,81,2,2018-12-07,2020-08-21,2018-12-07,2020-08-31,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
4736,泰博,81,2,2016-05-27,2022-04-29,2016-05-27,2022-05-10,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
2327,國巨*,75,2,2015-08-14,2022-11-25,2015-08-14,2022-12-05,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
3545,敦泰,75,2,2020-10-30,2021-04-01,2020-10-30,2021-04-14,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
3653,健策,75,2,2016-08-05,2020-06-12,2016-08-05,2020-06-22,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
3529,力旺,72,2,2015-06-18,2022-11-18,2015-06-18,2022-11-28,"date,ticker,name,market,open,high,low,close,volume,turnover_value,source_quality,adjustment_policy",selected_tickers_only_no_full_market_mass_download,P1 legacy/regime selected-stock unadjusted OHLC path blocked locally,True,False,blocked_not_required_for_this_unadjusted_path_request,True,False,False,False,False,False,False,True,False
