year,signal_family,rows,ready_rows,blocked_rows,unique_tickers,ready_share,diagnostic_only
2015,legacy_rs20,612,576,36,46,0.9411764705882353,True
2015,regime_switch,765,718,47,97,0.938562091503268,True
2016,legacy_rs20,612,604,8,50,0.9869281045751634,True
2016,regime_switch,765,742,23,107,0.9699346405228758,True
2017,legacy_rs20,624,624,0,42,1.0,True
2017,regime_switch,780,767,13,79,0.9833333333333333,True
2018,legacy_rs20,624,624,0,42,1.0,True
2018,regime_switch,780,772,8,97,0.9897435897435898,True
2019,legacy_rs20,612,600,12,49,0.9803921568627451,True
2019,regime_switch,765,743,22,90,0.9712418300653595,True
2020,legacy_rs20,636,636,0,39,1.0,True
2020,regime_switch,795,790,5,86,0.9937106918238994,True
2021,legacy_rs20,612,612,0,44,1.0,True
2021,regime_switch,765,755,10,89,0.9869281045751634,True
2022,legacy_rs20,600,596,4,42,0.9933333333333333,True
2022,regime_switch,750,740,10,83,0.9866666666666667,True
