signal_date,signal_family,variant,route_or_mode,ticker,executable_ticker,name,path_bucket,timing_variant,entry_date,exit_date,entry_price_kind,exit_price_kind,entry_price,exit_price,gross_return,net_return_local_ep05_cost_unit_notional,entry_ready,exit_ready,path_ready,source_quality,blocked_reason,adjusted_close_ready,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage,radar_entry_ready,radar_exit_ready,radar_path_ready,radar_blocked_reason,radar_adjusted_close_ready,entry_open,entry_close,exit_close,gross_return_unadjusted,price_path_ready,entry_source_route,exit_source_route,entry_adjustment_policy,exit_adjustment_policy,formal_portfolio_replay,diagnostic_unit_notional_twd,diagnostic_share_qty,buy_gross_twd,sell_gross_twd,buy_cost_twd,sell_cost_twd,total_cost_twd,cost_application_status
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,49.85,50.5,,0.007120916781836919,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,49.3,49.85,50.5,0.013039117352056095,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,20060.0,999991.0,1013030.0,1425.0,4483.0,5908.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,49.25,50.0,,0.009297012074132437,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,49.6,49.25,50.0,0.015228426395939021,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,20304.0,999972.0,1015200.0,1425.0,4493.0,5918.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1216,1216,統一,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,49.6,50.0,,0.002176330068804967,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,49.6,49.25,50.0,0.008064516129032251,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,20161.0,999985.6,1008050.0,1425.0,4460.0,5885.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,41.8,41.45,,-0.0141661267593255,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,42.3,41.8,41.45,-0.0083732057416267,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,23923.0,999981.3999999999,991608.3500000001,1425.0,4388.0,5813.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,40.75,41.7,,0.017334967396544398,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,41.6,40.75,41.7,0.02331288343558291,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,24539.0,999964.25,1023276.3,1425.0,4528.0,5953.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1101,1101,台泥,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,41.6,41.7,,-0.0034513480948482156,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,41.6,40.75,41.7,0.0024038461538462563,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,24038.0,999980.8,1002384.6000000001,1425.0,4435.0,5860.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,41.8,41.45,,-0.0141661267593255,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,42.3,41.8,41.45,-0.0083732057416267,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,23923.0,999981.3999999999,991608.3500000001,1425.0,4388.0,5813.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,close,close,40.75,41.7,,0.017334967396544398,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,41.6,40.75,41.7,0.02331288343558291,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,24539.0,999964.25,1023276.3,1425.0,4528.0,5953.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1101,1101,台泥,ordinary_stock,next_day_open_entry_fixed_5td_exit,2015-01-12,2015-01-19,open,close,41.6,41.7,,-0.0034513480948482156,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,41.6,40.75,41.7,0.0024038461538462563,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,24038.0,999980.8,1002384.6000000001,1425.0,4435.0,5860.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
2015-01-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1216,1216,統一,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2015-01-09,2015-01-16,close,close,49.85,50.5,,0.007120916781836919,False,False,True,official_unadjusted_ohlcv_twse_stock_day,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,49.3,49.85,50.5,0.013039117352056095,True,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,False,1000000,20060.0,999991.0,1013030.0,1425.0,4483.0,5908.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional
