ticker,date,blocker_class,blocked_reason,authorized_source_scope,network_family_allowed
00631L,2018-02-05,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2018-06-25,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-01-21,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-05-20,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-06-24,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-07-22,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-08-19,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-09-23,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-11-04,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2019-12-23,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2020-03-09,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2020-04-06,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2020-07-13,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2020-08-17,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2020-08-24,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-01-18,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-04-12,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-04-26,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-05-24,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-07-19,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-08-16,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2021-11-15,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2022-01-24,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2022-07-25,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2022-09-12,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2022-10-24,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2022-12-05,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
00631L,2023-01-09,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg,exact official raw close for transition execution leg only,official close/OHLC only; no non-close family
