variant_id,period,slippage_bp_per_side,actual_start,actual_end,rows,final_NAV,net_total_return,CAGR,MDD,00631L_buyhold_return,00631L_buyhold_MDD,excess_vs_00631L,transition_count,stock_or_etf_exposure_share,cash_exposure_share,total_cost,bear_days,ai_days,diffusion_days
strict_no_bear_baseline,P1,5,2015-06-08,2022-12-29,1856,5201863.188179566,4.201863188179566,0.2437696827612612,-0.5129972755297999,3.851447593964373,-0.521305851565929,0.3504155942151925,14,0.9956896551724138,0.004310344827586207,257423.9973325173,0,105,1751
current_score,P1,5,2015-06-08,2016-01-25,162,627586.5275768146,-0.37241347242318534,-0.5212731109223521,-0.4913626151862466,3.851447593964373,-0.521305851565929,-4.223861066387558,3,0.7654320987654321,0.2345679012345679,5636.730108874166,39,0,123
trend_dd10,P1,5,2015-06-08,2016-01-25,162,633710.353985963,-0.3662896460140369,-0.5138660940285527,-0.4863994636319433,3.851447593964373,-0.521305851565929,-4.21773723997841,3,0.7037037037037037,0.2962962962962963,5636.730108874166,49,0,113
crash_dd20,P1,5,2015-06-08,2022-07-11,1735,5295462.492427317,4.295462492427317,0.2649903699518297,-0.4904351442012226,3.851447593964373,-0.521305851565929,0.4440148984629442,14,0.9953890489913545,0.004610951008645533,257423.9973325173,1,105,1629
strict_no_bear_baseline,P2,5,2023-01-09,2026-06-29,835,15429086.048299361,14.42908604829936,1.2007666710085907,-0.5022632537851175,6.859566659203765,-0.5514365988579254,7.569519389095595,19,0.98562874251497,0.01437125748502994,394884.34478412865,0,156,679
current_score,P2,5,2023-01-09,2025-04-28,550,3350545.594215556,2.350545594215556,0.6917316945180378,-0.5022632537851175,6.859566659203765,-0.5514365988579254,-4.509021064988209,16,0.98,0.02,216461.9225324793,1,131,418
trend_dd10,P2,5,2023-01-09,2025-04-28,550,3350545.594215556,2.350545594215556,0.6917316945180378,-0.5022632537851175,6.859566659203765,-0.5514365988579254,-4.509021064988209,16,0.98,0.02,216461.9225324793,1,131,418
crash_dd20,P2,5,2023-01-09,2026-06-29,835,15429086.048299361,14.42908604829936,1.2007666710085907,-0.5022632537851175,6.859566659203765,-0.5514365988579254,7.569519389095595,19,0.98562874251497,0.01437125748502994,394884.34478412865,0,156,679
strict_no_bear_baseline,P1,10,2015-06-08,2022-12-29,1856,5152518.295089062,4.152518295089062,0.24220242167667094,-0.5129972755297999,3.846585570555419,-0.521305851565929,0.3059327245336432,14,0.9956896551724138,0.004310344827586207,297594.73753182543,0,105,1751
current_score,P1,10,2015-06-08,2016-01-25,162,626643.4895576736,-0.37335651044232643,-0.5224100362531829,-0.49187236136483226,3.846585570555419,-0.521305851565929,-4.219942080997745,3,0.7654320987654321,0.2345679012345679,6898.632977695741,39,0,123
