signal_date,branch_variant,selected_ticker,selected_name,ticker,name,market,timing_variant,entry_date,exit_date,entry_price,exit_price,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,path_ready,path_source_policy,source_quality,blocked_reason,selected_stock_adjusted_close_ready,diagnostic_unit_notional_twd,buy_cost_twd,sell_cost_twd,total_cost_twd,cost_model_version,cost_application_status,risk_adjusted_rs20_score,rs20_momentum_component,bias60_overheat_penalty_component,volatility_risk_penalty_component,low_base_bonus_component,quality_support_component,route_support_bonus_component,route_support_source_quality,score_formula,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,entry_open,entry_close,exit_close,diagnostic_share_qty,buy_gross_twd,sell_gross_twd
2015-01-09,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,1101,台泥,1101,台泥,TWSE,next_day_close_entry_fixed_5td_exit,2015-01-12,2015-01-19,40.75,41.7,0.0233128834355829,0.0173349673965443,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4528.0,5953.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,-0.0251333333333333,0.0,0.5,0.5,0.5,0.4983333333333333,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
2015-01-16,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,1101,台泥,1101,台泥,TWSE,next_day_close_entry_fixed_5td_exit,2015-01-19,2015-01-26,41.7,42.5,0.0191846522781773,0.0132315948515613,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4509.0,5934.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,-0.0251413427561837,0.0,0.5,0.5,0.5,0.4982332155477031,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
2015-01-23,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,1301,台塑,1301,台塑,TWSE,next_day_close_entry_fixed_5td_exit,2015-01-26,2015-02-02,76.5,77.3,0.0104575163398692,0.0045546216557239,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4471.0,5896.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,-0.0251413427561837,0.0,0.5,0.5,0.5,0.4982332155477031,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
2015-01-30,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2603,長榮,2603,長榮,TWSE,next_day_close_entry_fixed_5td_exit,2015-02-02,2015-02-09,21.6,22.4,0.0370370370370369,0.0309788533985686,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4589.0,6014.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,-0.0153081461327857,0.0,0.5,0.5,0.5,0.4982638888888888,0.6966148551220627,same_date_route_support_score_available_for_candidate,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
2015-02-06,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2325,矽品,2325,矽品,TWSE,next_day_close_entry_fixed_5td_exit,2015-02-09,2015-02-24,53.7,54.3,0.011173184357541777,0.00527359999999986,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4474.0,5899.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4415962611213106,0.9625,0.5,0.2199312714776632,0.5,0.4982876712328767,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,54.4,53.7,54.3,18621.0,999947.7000000001,1011120.2999999999
2015-02-13,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2325,矽品,2325,矽品,TWSE,next_day_close_entry_fixed_5td_exit,2015-02-24,2015-03-04,54.3,55.6,0.023941068139963217,0.017984800000000047,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4531.0,5956.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4200699250288351,0.9625,0.5,0.3993055555555556,0.5,0.4982698961937716,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,55.6,54.3,55.6,18416.0,999988.7999999999,1023929.6
2015-02-26,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2325,矽品,2325,矽品,TWSE,next_day_close_entry_fixed_5td_exit,2015-03-02,2015-03-09,56.0,55.5,-0.008928571428571397,-0.0147385,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4385.0,5810.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3946532583621684,0.9125,0.5,0.4236111111111111,0.5,0.4982698961937716,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,56.1,56.0,55.5,17857.0,999992.0,991063.5
2015-03-06,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,9914,美利達,9914,美利達,TWSE,next_day_close_entry_fixed_5td_exit,2015-03-09,2015-03-16,251.5,243.0,-0.03379721669980118,-0.039497,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4276.0,5701.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.404366408934708,0.9375,0.5,0.436426116838488,0.5,0.4982817869415807,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,258.0,251.5,243.0,3976.0,999964.0,966168.0
2015-03-13,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2383,台光電,2383,台光電,TWSE,next_day_close_entry_fixed_5td_exit,2015-03-16,2015-03-23,54.7,55.4,0.012797074954296,0.006881096054237,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4481.0,5906.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,0.3941637931034483,0.975,0.5,0.6620689655172414,0.5,0.4982758620689655,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
2015-03-20,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,4733,上緯,4733,上緯,TWSE,next_day_close_entry_fixed_5td_exit,2015-03-23,2015-03-30,224.0,218.5,-0.0245535714285713,-0.0302518272630949,True,reused_existing_p1_selected_stock_unadjusted_ohlc_path,official_unadjusted_ohlcv_twse_stock_day,,False,1000000.0,1425.0,4316.0,5741.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,0.3867182130584193,1.0,0.5,0.8178694158075601,0.5,0.4982817869415807,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,,,,,,
