snapshot_date,ticker,prior_factor_date,prior_factor,next_factor_date,next_factor,factor_abs_diff,absolute_tolerance,relative_tolerance,factor_equal_within_tolerance,raw_HLC_same_day_ready,corporate_action_ambiguity,bracket_factor_accepted,proof_reason,neighbor_price_substitution_used
2025-08-01,1216,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,1785,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,1815,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2027,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2311,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2313,2025-07-31,0.990128120416702,2025-08-04,0.9901281246877155,4.271013542833657e-09,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2317,2025-07-31,0.9710815086793364,2025-08-04,0.9710814581976996,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2325,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2327,2025-07-31,0.9928759304982311,2025-08-04,0.9928758852949766,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2328,2025-07-31,0.9815384550176116,2025-08-04,0.9815384664632991,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2354,2025-07-31,0.9727273250931956,2025-08-04,0.9727272800723096,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2392,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2412,2025-07-31,0.9627240203147712,2025-08-04,0.9627240013530236,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2448,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2456,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2801,2025-07-31,1.0,2025-08-04,1.0,0.0,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2823,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2884,2025-07-31,0.95936139228717,2025-08-04,0.9593613611402155,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,2886,2025-07-31,0.9627907609819857,2025-08-04,0.9627907596398819,1.3421037614591569e-09,1e-10,1e-08,True,True,False,True,accepted_factor_continuity,False
2025-08-01,2888,,,,,,1e-10,1e-08,False,False,True,False,missing_prior_factor,False
2025-08-01,2892,2025-07-31,0.968333362614787,2025-08-04,0.9683333944011238,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3008,2025-07-31,0.9673648503567653,2025-08-04,0.9673648609834559,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3019,2025-07-31,0.9707006110998863,2025-08-04,0.9707005987104201,,1e-10,1e-08,False,True,False,False,factor_changed,False
2025-08-01,3078,2025-07-31,0.9546484920565642,2025-08-04,0.954648511084893,,1e-10,1e-08,False,True,False,False,factor_changed,False
