snapshot_date,ticker,name,market,pool_rank,layer4_pool_role,is_layer4_primary_pool,reference_only,adjusted_analysis_ready,new_selection_eligible,selection_semantics
2023-07-14,2888,新光金,TWSE,70,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-07-21,2888,新光金,TWSE,47,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-07-28,2888,新光金,TWSE,37,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-08-04,2888,新光金,TWSE,68,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-08-11,2888,新光金,TWSE,15,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-08-18,2888,新光金,TWSE,9,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-08-25,2888,新光金,TWSE,6,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-09-01,2888,新光金,TWSE,12,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-09-15,2888,新光金,TWSE,65,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-09-22,2888,新光金,TWSE,78,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-10-06,6288,聯嘉,TWSE,35,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-10-06,6806,森崴能源,TWSE,44,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-10-13,6806,森崴能源,TWSE,5,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
2023-10-13,6288,聯嘉,TWSE,68,primary_80_pool,True,False,False,blocked_until_adjusted_independent_or_source_ready,primary80_candidate_selector_completeness_blocked
