ticker,membership_rows,primary80_rows,watchlist_reference_rows,affected_signal_dates,layer5_shortlist_rows,challenger_rows,incumbent_rows,selected_rows,selected_path_impact,proof
2311,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2325,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2448,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2456,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2809,10,10,0,10,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2823,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
2888,42,42,0,42,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
3698,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
5264,1,1,0,1,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
6288,4,4,0,4,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
6806,24,24,0,24,not_materialized,potentially_affected,potentially_affected,unknown_before_frozen_selector,potential,exact primary80 membership confirmed; no silent exclusion allowed
