snapshot_date,price_eligible_tickers,completely_unevaluable_candidates,chip_components_available_min,chip_components_available_median,chip_components_available_max,date_level_market_gate_ready,candidate_level_date_ready
2023-07-14,25,55,3,4.0,4,True,True
2023-07-21,56,24,3,4.0,4,True,True
2023-07-28,61,19,4,4.0,4,True,True
2023-08-04,62,18,3,4.0,4,True,True
2023-08-11,53,27,3,4.0,4,True,True
2023-08-18,66,14,3,4.0,4,True,True
2023-08-25,60,20,4,4.0,4,True,True
2023-09-01,73,7,4,4.0,4,True,True
2023-09-08,71,9,4,4.0,4,True,True
2023-09-15,66,14,3,4.0,4,True,True
2023-09-22,69,11,4,4.0,4,True,True
2023-09-28,76,4,4,4.0,4,True,True
2023-10-06,78,2,3,4.0,4,True,True
2023-10-13,78,2,4,4.0,4,True,True
2023-10-20,79,1,4,4.0,4,True,True
2023-10-27,80,0,4,4.0,4,True,True
2023-11-03,79,1,4,4.0,4,True,True
2023-11-10,76,4,4,4.0,4,True,True
2023-11-17,78,2,2,4.0,4,True,True
2023-11-24,78,2,2,4.0,4,True,True
2023-12-01,78,2,2,4.0,4,True,True
2023-12-08,77,3,2,4.0,4,True,True
2023-12-15,78,2,2,4.0,4,True,True
2023-12-22,79,1,3,4.0,4,True,True
2023-12-29,78,2,3,4.0,4,True,True
2024-01-05,77,3,2,4.0,4,True,True
2024-01-12,78,2,2,4.0,4,True,True
2024-01-19,79,1,3,4.0,4,True,True
2024-01-26,77,3,3,4.0,4,True,True
2024-02-02,79,1,3,4.0,4,True,True
2024-02-05,78,2,3,4.0,4,True,True
2024-02-16,79,1,3,4.0,4,True,True
2024-02-23,78,2,3,4.0,4,True,True
2024-03-01,78,2,3,4.0,4,True,True
2024-03-08,80,0,3,4.0,4,True,True
2024-03-15,79,1,3,4.0,4,True,True
2024-03-22,79,1,3,4.0,4,True,True
2024-03-29,80,0,2,4.0,4,True,True
2024-04-03,80,0,3,4.0,4,True,True
2024-04-12,79,1,4,4.0,4,True,True
2024-04-19,79,1,3,4.0,4,True,True
2024-04-26,79,1,3,4.0,4,True,True
2024-05-03,79,1,4,4.0,4,True,True
2024-05-10,79,1,3,4.0,4,True,True
2024-05-17,79,1,4,4.0,4,True,True
2024-05-24,80,0,4,4.0,4,True,True
2024-05-31,78,2,4,4.0,4,True,True
2024-06-07,79,1,3,4.0,4,True,True
2024-06-14,80,0,3,4.0,4,True,True
2024-06-21,79,1,3,4.0,4,True,True
2024-06-28,79,1,3,4.0,4,True,True
2024-07-05,78,2,3,4.0,4,True,True
2024-07-12,78,2,4,4.0,4,True,True
2024-07-19,78,2,4,4.0,4,True,True
2024-07-26,78,2,4,4.0,4,True,True
2024-08-02,78,2,3,4.0,4,True,True
2024-08-09,78,2,3,4.0,4,True,True
2024-08-16,80,0,3,4.0,4,True,True
2024-08-23,76,4,3,4.0,4,True,True
2024-08-30,76,4,4,4.0,4,True,True
2024-09-06,79,1,3,4.0,4,True,True
2024-09-13,80,0,3,4.0,4,True,True
2024-09-20,79,1,3,4.0,4,True,True
2024-09-27,79,1,3,4.0,4,True,True
2024-10-04,79,1,3,4.0,4,True,True
2024-10-11,80,0,3,4.0,4,True,True
2024-10-18,80,0,4,4.0,4,True,True
2024-10-25,80,0,4,4.0,4,True,True
2024-11-01,80,0,4,4.0,4,True,True
2024-11-08,80,0,4,4.0,4,True,True
2024-11-15,78,2,3,4.0,4,True,True
2024-11-22,78,2,2,4.0,4,True,True
2024-11-29,79,1,4,4.0,4,True,True
2024-12-06,80,0,3,4.0,4,True,True
2024-12-13,79,1,4,4.0,4,True,True
2024-12-20,79,1,4,4.0,4,True,True
2024-12-27,79,1,4,4.0,4,True,True
2025-01-03,78,2,3,4.0,4,True,True
2025-01-10,79,1,4,4.0,4,True,True
2025-01-17,79,1,4,4.0,4,True,True
2025-01-22,79,1,4,4.0,4,True,True
2025-02-07,78,2,2,4.0,4,True,True
2025-02-14,79,1,2,4.0,4,True,True
2025-02-21,78,2,2,4.0,4,True,True
2025-02-27,79,1,2,4.0,4,True,True
2025-03-07,79,1,2,4.0,4,True,True
2025-03-14,80,0,2,4.0,4,True,True
2025-03-21,80,0,2,4.0,4,True,True
2025-03-28,80,0,2,4.0,4,True,True
2025-04-02,80,0,3,4.0,4,True,True
2025-04-11,80,0,4,4.0,4,True,True
2025-04-18,80,0,4,4.0,4,True,True
2025-04-25,80,0,4,4.0,4,True,True
2025-05-02,80,0,4,4.0,4,True,True
2025-05-09,80,0,4,4.0,4,True,True
2025-05-16,80,0,3,4.0,4,True,True
2025-05-23,80,0,3,4.0,4,True,True
2025-05-29,80,0,3,4.0,4,True,True
2025-06-06,80,0,3,4.0,4,True,True
2025-06-13,78,2,3,4.0,4,True,True
2025-06-20,79,1,3,4.0,4,True,True
