field_a,field_b,spearman,abs_spearman,audit_role
opportunity_momentum_score,opportunity_momentum_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,trend_continuation_score,0.6253789412064902,0.6253789412064902,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,capital_chip_support_score,0.26283907743341367,0.26283907743341367,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,lifecycle_fit_score,0.5576713985081353,0.5576713985081353,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,fundamental_quality_score,-0.023774062792108197,0.023774062792108197,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,individual_risk_score,-0.07611686238700406,0.07611686238700406,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
opportunity_momentum_score,market_risk_score,0.09108050884357795,0.09108050884357795,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,opportunity_momentum_score,0.6253789412064902,0.6253789412064902,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,trend_continuation_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,capital_chip_support_score,0.3100427034551069,0.3100427034551069,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,lifecycle_fit_score,0.672174715443625,0.672174715443625,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,fundamental_quality_score,0.0771008315860337,0.0771008315860337,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,individual_risk_score,-0.10871483637502938,0.10871483637502938,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
trend_continuation_score,market_risk_score,-0.2497686299268596,0.2497686299268596,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,opportunity_momentum_score,0.26283907743341367,0.26283907743341367,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,trend_continuation_score,0.3100427034551069,0.3100427034551069,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,capital_chip_support_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,lifecycle_fit_score,0.27751207291055446,0.27751207291055446,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,fundamental_quality_score,0.003074076263803607,0.003074076263803607,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,individual_risk_score,-0.12427177098836041,0.12427177098836041,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
capital_chip_support_score,market_risk_score,-0.061711494741395645,0.061711494741395645,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,opportunity_momentum_score,0.5576713985081353,0.5576713985081353,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,trend_continuation_score,0.672174715443625,0.672174715443625,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,capital_chip_support_score,0.27751207291055446,0.27751207291055446,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,lifecycle_fit_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,fundamental_quality_score,0.05328755867127367,0.05328755867127367,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,individual_risk_score,-0.2580047933631995,0.2580047933631995,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
lifecycle_fit_score,market_risk_score,-0.18386802851764947,0.18386802851764947,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,opportunity_momentum_score,-0.023774062792108197,0.023774062792108197,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,trend_continuation_score,0.0771008315860337,0.0771008315860337,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,capital_chip_support_score,0.003074076263803607,0.003074076263803607,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,lifecycle_fit_score,0.05328755867127367,0.05328755867127367,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,fundamental_quality_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,individual_risk_score,0.01674126418371016,0.01674126418371016,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
fundamental_quality_score,market_risk_score,-0.07631459034291102,0.07631459034291102,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,opportunity_momentum_score,-0.07611686238700406,0.07611686238700406,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,trend_continuation_score,-0.10871483637502938,0.10871483637502938,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,capital_chip_support_score,-0.12427177098836041,0.12427177098836041,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,lifecycle_fit_score,-0.2580047933631995,0.2580047933631995,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,fundamental_quality_score,0.01674126418371016,0.01674126418371016,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,individual_risk_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
individual_risk_score,market_risk_score,0.004462822064714197,0.004462822064714197,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,opportunity_momentum_score,0.09108050884357795,0.09108050884357795,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,trend_continuation_score,-0.2497686299268596,0.2497686299268596,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,capital_chip_support_score,-0.061711494741395645,0.061711494741395645,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,lifecycle_fit_score,-0.18386802851764947,0.18386802851764947,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,fundamental_quality_score,-0.07631459034291102,0.07631459034291102,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,individual_risk_score,0.004462822064714197,0.004462822064714197,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
market_risk_score,market_risk_score,1.0,1.0,P3_1_precombine_cross_block_diagnostic_no_feature_deletion_from_final_OOS
