P3_segment,horizon_td,outcome_status,rows
P3-1_development,5,blocked,2975
P3-1_development,5,ready,35585
P3-1_development,10,blocked,3382
P3-1_development,10,ready,35178
P3-1_development,20,blocked,4245
P3-1_development,20,ready,34315
P3-1_development,40,blocked,5705
P3-1_development,40,ready,32855
P3-2_untouched_OOS,5,blocked,2474
P3-2_untouched_OOS,5,ready,15897
P3-2_untouched_OOS,5,terminal_unavailable,269
P3-2_untouched_OOS,10,blocked,3050
P3-2_untouched_OOS,10,ready,15001
P3-2_untouched_OOS,10,terminal_unavailable,589
P3-2_untouched_OOS,20,blocked,3818
P3-2_untouched_OOS,20,ready,13660
P3-2_untouched_OOS,20,terminal_unavailable,1162
P3-2_untouched_OOS,40,blocked,4161
P3-2_untouched_OOS,40,ready,11939
P3-2_untouched_OOS,40,terminal_unavailable,2540
