event_id,episode_id,decision_date,execution_date,action_type,invalidity_status,incumbent,challenger,alternate_action,alternate_target,C0_alternate_target,reason_codes
E5_2024-04-22,5,2024-04-22,2024-04-23,switch_to_challenger,applied_controller_margin_blocks_weakening,2379,2515,hold_pre_episode_incumbent,2379,2379,applied_controller_margin_blocks_weakening
E5_2024-04-23,5,2024-04-23,2024-04-24,hold_incumbent,valid_incumbent_no_better_challenger,2515,2515,hold_pre_episode_incumbent,2379,2379,valid_incumbent_no_better_challenger
E5_2024-04-24,5,2024-04-24,2024-04-25,hold_incumbent,valid_incumbent_no_better_challenger,2515,2515,hold_pre_episode_incumbent,2379,2379,valid_incumbent_no_better_challenger
E5_2024-04-25,5,2024-04-25,2024-04-26,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2379,applied_controller_switch_gate_failed
E5_2024-04-26,5,2024-04-26,2024-04-29,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2379,applied_controller_switch_gate_failed
E5_2024-04-29,5,2024-04-29,2024-04-30,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2618,applied_controller_switch_gate_failed
E5_2024-04-30,5,2024-04-30,2024-05-02,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2618,applied_controller_switch_gate_failed
E5_2024-05-02,5,2024-05-02,2024-05-03,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2618,applied_controller_switch_gate_failed
E5_2024-05-03,5,2024-05-03,2024-05-06,hold_incumbent,applied_controller_switch_gate_failed,2515,2515,hold_pre_episode_incumbent,2379,2618,applied_controller_switch_gate_failed
E7_2024-08-02,7,2024-08-02,2024-08-05,switch_to_challenger,applied_controller_margin_blocks_weakening,2308,2881,hold_pre_episode_incumbent,2308,2308,applied_controller_margin_blocks_weakening
E7_2024-08-05,7,2024-08-05,2024-08-06,hold_incumbent,applied_controller_switch_gate_failed,2881,2881,hold_pre_episode_incumbent,2308,3374,applied_controller_switch_gate_failed
