decision_date,next_execution_date,incumbent_after,challenger_ticker,selected_action,reason_code,market_state
2023-07-17,2023-07-18,2388,2388,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-07-18,2023-07-19,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-07-19,2023-07-20,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-07-20,2023-07-21,2388,2388,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-07-21,2023-07-24,2388,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-07-24,2023-07-25,3515,3515,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-07-25,2023-07-26,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-07-26,2023-07-27,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-07-27,2023-07-28,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-07-28,2023-07-31,3515,4953,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-07-31,2023-08-01,6531,6531,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-08-01,2023-08-02,6531,6531,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-08-02,2023-08-04,6531,3044,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-04,2023-08-07,6531,3044,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-07,2023-08-08,8210,8210,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-08-08,2023-08-09,8210,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-09,2023-08-10,8210,2449,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-10,2023-08-11,8210,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-11,2023-08-14,8210,2353,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-14,2023-08-15,2353,2353,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-08-15,2023-08-16,2353,2353,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-08-16,2023-08-17,2353,8050,hold_incumbent,switch_gate_not_all_pass,weak_market
2023-08-17,2023-08-18,2353,2353,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-08-18,2023-08-21,2353,2353,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-08-21,2023-08-22,3583,3583,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-08-22,2023-08-23,3583,3689,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-23,2023-08-24,3583,3583,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-08-24,2023-08-25,3583,2376,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-25,2023-08-28,3583,3661,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-28,2023-08-29,1519,1519,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-08-29,2023-08-30,1519,2402,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-30,2023-08-31,1519,2402,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-08-31,2023-09-01,1519,2402,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-01,2023-09-04,1519,2402,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-04,2023-09-05,9958,9958,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-09-05,2023-09-06,9958,2436,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-06,2023-09-07,6274,6274,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-09-07,2023-09-08,6274,6274,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-09-08,2023-09-11,6274,3548,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-11,2023-09-12,2436,2436,forced_replacement,invalid_or_weak_incumbent,strong_market
2023-09-12,2023-09-13,2436,3661,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-13,2023-09-14,2436,3661,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-14,2023-09-15,2436,3661,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-09-15,2023-09-18,2436,3661,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-18,2023-09-19,2436,3661,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-19,2023-09-20,2436,1319,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-20,2023-09-21,2436,1319,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-21,2023-09-22,2436,1319,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-22,2023-09-25,2436,1319,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-25,2023-09-26,2436,1522,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-09-26,2023-09-27,2436,6732,hold_incumbent,switch_gate_not_all_pass,weak_market
2023-09-27,2023-09-28,2436,1522,hold_incumbent,switch_gate_not_all_pass,weak_market
2023-09-28,2023-10-02,2436,1522,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-02,2023-10-03,2436,1560,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-03,2023-10-04,2436,1560,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-04,2023-10-05,1560,1560,switch_to_challenger,margin_blocks_incumbent_weakened,weak_market
2023-10-05,2023-10-06,1560,1560,hold_incumbent,valid_incumbent_no_better_challenger,ordinary_market
2023-10-06,2023-10-11,1560,2454,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-11,2023-10-12,3325,3325,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-10-12,2023-10-13,3325,3715,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-10-13,2023-10-16,3325,3715,hold_incumbent,switch_gate_not_all_pass,strong_market
2023-10-16,2023-10-17,3483,3483,forced_replacement,invalid_or_weak_incumbent,ordinary_market
2023-10-17,2023-10-18,3483,3260,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-18,2023-10-19,3483,3260,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-19,2023-10-20,3483,3260,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-20,2023-10-23,3483,3260,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-23,2023-10-24,3548,3548,forced_replacement,invalid_or_weak_incumbent,weak_market
2023-10-24,2023-10-25,3548,6139,hold_incumbent,switch_gate_not_all_pass,ordinary_market
2023-10-25,2023-10-26,3548,6139,hold_incumbent,switch_gate_not_all_pass,ordinary_market
