decision_date,ticker,horizon_td,reason
2023-08-08,1101,20,exit_official_raw_close_missing_or_not_tradable
2023-08-22,1101,10,exit_official_raw_close_missing_or_not_tradable
2023-08-29,1101,5,exit_official_raw_close_missing_or_not_tradable
2024-05-13,1101,20,exit_official_raw_close_missing_or_not_tradable
2024-05-27,1101,10,exit_official_raw_close_missing_or_not_tradable
2024-06-03,1101,5,exit_official_raw_close_missing_or_not_tradable
2024-07-22,1101,20,exit_official_raw_close_missing_or_not_tradable
2024-08-07,1101,10,exit_official_raw_close_missing_or_not_tradable
2024-08-14,1101,5,exit_official_raw_close_missing_or_not_tradable
2024-08-21,1101,5,entry_official_raw_close_missing_or_not_tradable
2024-08-21,1101,10,entry_official_raw_close_missing_or_not_tradable
2024-08-21,1101,20,entry_official_raw_close_missing_or_not_tradable
2024-08-21,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-02-17,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-18,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-19,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-20,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-21,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-24,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-25,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-26,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-02-27,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-03,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-04,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-05,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-05,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-06,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-06,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-07,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-07,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-10,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-10,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-11,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-11,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-12,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-12,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-13,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-13,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-14,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-14,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-17,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-17,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-18,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-18,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-19,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-19,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-19,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-20,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-20,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-20,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-21,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-21,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-21,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-24,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-24,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-24,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-25,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-25,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-25,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-26,1101,5,exit_official_raw_close_missing_or_not_tradable
2025-03-26,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-26,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-26,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-27,1101,5,exit_official_raw_close_missing_or_not_tradable
2025-03-27,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-27,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-27,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-28,1101,5,exit_official_raw_close_missing_or_not_tradable
2025-03-28,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-28,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-28,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-03-31,1101,5,exit_official_raw_close_missing_or_not_tradable
2025-03-31,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-03-31,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-03-31,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-04-01,1101,5,exit_official_raw_close_missing_or_not_tradable
2025-04-01,1101,10,exit_official_raw_close_missing_or_not_tradable
2025-04-01,1101,20,exit_official_raw_close_missing_or_not_tradable
2025-04-01,1101,40,exit_official_raw_close_missing_or_not_tradable
2025-04-02,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-02,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-02,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-02,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-04-07,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-07,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-07,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-07,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-04-08,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-08,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-08,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-08,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-04-09,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-09,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-09,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-09,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-04-10,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-10,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-10,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-10,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-04-11,1101,5,entry_official_raw_close_missing_or_not_tradable
2025-04-11,1101,10,entry_official_raw_close_missing_or_not_tradable
2025-04-11,1101,20,entry_official_raw_close_missing_or_not_tradable
2025-04-11,1101,40,entry_official_raw_close_missing_or_not_tradable
2025-03-25,1102,20,exit_official_raw_close_missing_or_not_tradable
2025-05-08,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-09,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-12,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-13,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-14,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-15,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-16,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-26,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-27,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-28,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-05-29,1102,40,exit_official_raw_close_missing_or_not_tradable
2025-07-07,1102,5,entry_official_raw_close_missing_or_not_tradable
2025-07-07,1102,10,entry_official_raw_close_missing_or_not_tradable
2025-07-07,1102,20,entry_official_raw_close_missing_or_not_tradable
2025-07-07,1102,40,entry_official_raw_close_missing_or_not_tradable
2025-07-08,1102,5,entry_official_raw_close_missing_or_not_tradable
2025-07-08,1102,10,entry_official_raw_close_missing_or_not_tradable
2025-07-08,1102,20,entry_official_raw_close_missing_or_not_tradable
2025-07-08,1102,40,entry_official_raw_close_missing_or_not_tradable
2025-07-09,1102,5,entry_official_raw_close_missing_or_not_tradable
2025-07-09,1102,10,entry_official_raw_close_missing_or_not_tradable
2025-07-09,1102,20,entry_official_raw_close_missing_or_not_tradable
2025-07-09,1102,40,entry_official_raw_close_missing_or_not_tradable
2025-07-10,1102,5,entry_official_raw_close_missing_or_not_tradable
2025-07-10,1102,10,entry_official_raw_close_missing_or_not_tradable
2025-07-10,1102,20,entry_official_raw_close_missing_or_not_tradable
2025-07-10,1102,40,entry_official_raw_close_missing_or_not_tradable
2025-07-11,1102,5,entry_official_raw_close_missing_or_not_tradable
2025-07-11,1102,10,entry_official_raw_close_missing_or_not_tradable
2025-07-11,1102,20,entry_official_raw_close_missing_or_not_tradable
2025-07-11,1102,40,entry_official_raw_close_missing_or_not_tradable
2023-07-24,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-24,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-07-25,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-25,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-07-26,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-26,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-07-27,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-27,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-07-28,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-28,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-07-31,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-07-31,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-01,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-01,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-02,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-02,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-04,1210,10,exit_official_raw_close_missing_or_not_tradable
2023-08-04,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-04,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-14,1210,5,exit_official_raw_close_missing_or_not_tradable
2023-08-14,1210,10,exit_official_raw_close_missing_or_not_tradable
2023-08-14,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-14,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-15,1210,5,exit_official_raw_close_missing_or_not_tradable
2023-08-15,1210,10,exit_official_raw_close_missing_or_not_tradable
2023-08-15,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-15,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-16,1210,5,exit_official_raw_close_missing_or_not_tradable
2023-08-16,1210,10,exit_official_raw_close_missing_or_not_tradable
2023-08-16,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-16,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-17,1210,5,exit_official_raw_close_missing_or_not_tradable
2023-08-17,1210,10,exit_official_raw_close_missing_or_not_tradable
2023-08-17,1210,20,exit_official_raw_close_missing_or_not_tradable
2023-08-17,1210,40,exit_official_raw_close_missing_or_not_tradable
2023-08-18,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-18,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-18,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-18,1210,40,entry_official_raw_close_missing_or_not_tradable
2023-08-21,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-21,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-21,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-21,1210,40,entry_official_raw_close_missing_or_not_tradable
2023-08-22,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-22,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-22,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-22,1210,40,entry_official_raw_close_missing_or_not_tradable
2023-08-23,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-23,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-23,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-23,1210,40,entry_official_raw_close_missing_or_not_tradable
2023-08-24,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-24,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-24,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-24,1210,40,entry_official_raw_close_missing_or_not_tradable
2023-08-25,1210,5,entry_official_raw_close_missing_or_not_tradable
2023-08-25,1210,10,entry_official_raw_close_missing_or_not_tradable
2023-08-25,1210,20,entry_official_raw_close_missing_or_not_tradable
2023-08-25,1210,40,entry_official_raw_close_missing_or_not_tradable
2025-06-05,1210,40,exit_adjusted_analysis_missing
2025-06-06,1210,40,intermediate_adjusted_missing_on_official_trading_day
2025-10-27,1210,5,exit_official_raw_close_missing_or_not_tradable
2025-10-27,1210,10,exit_official_raw_close_missing_or_not_tradable
2025-10-27,1210,20,exit_official_raw_close_missing_or_not_tradable
2025-10-27,1210,40,exit_official_raw_close_missing_or_not_tradable
2025-10-28,1210,5,exit_official_raw_close_missing_or_not_tradable
2025-10-28,1210,10,exit_official_raw_close_missing_or_not_tradable
2025-10-28,1210,20,exit_official_raw_close_missing_or_not_tradable
2025-10-28,1210,40,exit_official_raw_close_missing_or_not_tradable
2025-10-29,1210,5,exit_official_raw_close_missing_or_not_tradable
2025-10-29,1210,10,exit_official_raw_close_missing_or_not_tradable
2025-10-29,1210,20,exit_official_raw_close_missing_or_not_tradable
2025-10-29,1210,40,exit_official_raw_close_missing_or_not_tradable
2025-10-30,1210,5,exit_official_raw_close_missing_or_not_tradable
2025-10-30,1210,10,exit_official_raw_close_missing_or_not_tradable
2025-10-30,1210,20,exit_official_raw_close_missing_or_not_tradable
2025-10-30,1210,40,exit_official_raw_close_missing_or_not_tradable
2025-10-31,1210,5,entry_official_raw_close_missing_or_not_tradable
2025-10-31,1210,10,entry_official_raw_close_missing_or_not_tradable
