dimension_a,dimension_b,spearman,high_correlation_flag,policy
opportunity_momentum_score,trend_continuation_score,0.605012109702514,False,dimension_precombined_once_no_raw_duplicate_vote
opportunity_momentum_score,risk_axis,-0.014723452863471693,False,dimension_precombined_once_no_raw_duplicate_vote
capital_chip_support_score,opportunity_momentum_score,0.26008471021475943,False,dimension_precombined_once_no_raw_duplicate_vote
capital_chip_support_score,trend_continuation_score,0.29562569948546197,False,dimension_precombined_once_no_raw_duplicate_vote
capital_chip_support_score,risk_axis,-0.08504007415685487,False,dimension_precombined_once_no_raw_duplicate_vote
capital_chip_support_score,lifecycle_fit_score,0.2606880353529559,False,dimension_precombined_once_no_raw_duplicate_vote
risk_axis,trend_continuation_score,-0.06854483989933059,False,dimension_precombined_once_no_raw_duplicate_vote
lifecycle_fit_score,opportunity_momentum_score,0.5600603203994258,False,dimension_precombined_once_no_raw_duplicate_vote
lifecycle_fit_score,trend_continuation_score,0.6441902442807821,False,dimension_precombined_once_no_raw_duplicate_vote
lifecycle_fit_score,risk_axis,-0.23182539658090598,False,dimension_precombined_once_no_raw_duplicate_vote
F_revenue_score,opportunity_momentum_score,-0.01845642817219936,False,dimension_precombined_once_no_raw_duplicate_vote
F_revenue_score,trend_continuation_score,-0.021087862499576573,False,dimension_precombined_once_no_raw_duplicate_vote
F_revenue_score,capital_chip_support_score,0.01680948381056876,False,dimension_precombined_once_no_raw_duplicate_vote
F_revenue_score,risk_axis,0.018995680082831486,False,dimension_precombined_once_no_raw_duplicate_vote
F_revenue_score,lifecycle_fit_score,-0.01069274942564907,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,opportunity_momentum_score,-0.025462544191076412,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,trend_continuation_score,-0.01544173896000415,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,capital_chip_support_score,0.06965770988296015,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,risk_axis,-0.056124950894653365,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,lifecycle_fit_score,0.030518357297978815,False,dimension_precombined_once_no_raw_duplicate_vote
F_profitability_score,F_revenue_score,0.18243950171150897,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,opportunity_momentum_score,0.019558433940824217,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,trend_continuation_score,0.014510786813117082,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,capital_chip_support_score,0.0330626537649998,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,risk_axis,-0.03627800901232428,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,lifecycle_fit_score,0.029930028957923873,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,F_revenue_score,0.1245081305169562,False,dimension_precombined_once_no_raw_duplicate_vote
F_margins_score,F_profitability_score,0.42010570777523293,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,opportunity_momentum_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,trend_continuation_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,capital_chip_support_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,risk_axis,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,lifecycle_fit_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,F_revenue_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,F_profitability_score,,False,dimension_precombined_once_no_raw_duplicate_vote
F_leverage_liquidity_score,F_margins_score,,False,dimension_precombined_once_no_raw_duplicate_vote
