block,contract_field,source_table,source_column_exists,non_null_rows,total_candidate_rows,PIT_source,usable_for_rule_now,future_return_field
A_momentum_opportunity,RS5,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,RS10,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,RS20,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,rs5_minus_rs10,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,rs10_minus_rs20,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,rs_short_acceleration_flag,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
A_momentum_opportunity,rs_short_deterioration_flag,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
B_trend_persistence,RS40,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12308,12320,True,True,False
B_trend_persistence,RS60,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12300,12320,True,True,False
B_trend_persistence,MA20_position,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
B_trend_persistence,MA60_position,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12300,12320,True,True,False
B_trend_persistence,MA120_position,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12246,12320,True,True,False
B_trend_persistence,rs60_background_supportive,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
C_capital_chip_support,traded_value_rank_5d,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
C_capital_chip_support,traded_value_rank_20d,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
C_capital_chip_support,traded_value_rank_60d,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
C_capital_chip_support,capital_rank_improvement_20d_vs_60d,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_layer4_80_primary_pool_contract_20260708\layer4_80_primary_pool_contract.csv,True,12320,12320,True,True,False
