field,required,machine_or_plain,allowed_selected_action,reference_flags
lifecycle_state,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
lifecycle_state_confidence,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
incumbent_valid,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
incumbent_weakened,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
challenger_valid,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
challenger_margin_pass,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
after_cost_edge_pass,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
forced_replacement_reason,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
market_tightness_state,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
confidence_floor_pass,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
price_core_valid,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
quality_floor_pass,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
risk_overheat_warning,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
chip_data_applicability,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
selected_action,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
reference_only_flags,True,machine,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
今日進攻部位建議,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
為什麼續抱_換倉_空手,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
主要支持理由3條,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
主要風險3條,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
挑戰者是否明顯勝出,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
是否足以覆蓋換倉成本,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
大環境門檻狀態,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
資料信心與缺口,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
不可選原因,True,plain_zh,hold_incumbent|switch_to_challenger|forced_exit|no_position_confirmed_bear|watch_only,c2_reference|route_support_reference|r6_reference|rs20_top3_reference
