feature,owner,role,PIT_policy,future_outcome_feature,missing_policy,precombined_dimension
opportunity_momentum_score,A,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
trend_continuation_score,B,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
capital_chip_support_score,C,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
risk_overheat_crowding_score,D,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
lifecycle_fit_score,E,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
F_revenue_score,F,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
F_profitability_score,F,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
F_margins_score,F,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
F_cashflow_score,F,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
F_leverage_liquidity_score,F,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
fundamental_quality_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
total_score_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
taiwan_score,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
taiwan_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
breadth_score,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
breadth_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
capital_score,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
capital_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
derivatives_score,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
derivatives_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
external_score,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
external_confidence,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
TDCC_available,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
TDCC_missing_indicator,market_or_confidence,feature,decision_close_or_prior_available_date,False,indicator_plus_NA_no_zero_fill,True
