bin,predicted_probability,observed_rate,rows,horizon_td,model
"(0.0697, 0.196]",0.1627867525288766,0.27613494377342773,2401,10,risk_logistic
"(0.196, 0.239]",0.21788835524337843,0.3152852977925864,2401,10,risk_logistic
"(0.239, 0.274]",0.2563522808247142,0.3206997084548105,2401,10,risk_logistic
"(0.274, 0.32]",0.29597496359439585,0.3152852977925864,2401,10,risk_logistic
"(0.32, 0.337]",0.333005955049724,0.20176823492263973,3167,10,risk_logistic
"(0.337, 0.339]",0.33917904912284175,0.17153679653679654,1848,10,risk_logistic
"(0.339, 0.344]",0.3426319309837194,0.1469522240527183,3035,10,risk_logistic
"(0.344, 0.349]",0.34700905441815083,0.15077098800685323,1751,10,risk_logistic
"(0.349, 0.405]",0.37349018526364586,0.2342260553790286,2203,10,risk_logistic
"(0.405, 0.653]",0.45261281735343134,0.19533527696793002,2401,10,risk_logistic
"(0.00135, 0.0167]",0.00982636275495807,0.1411911703456893,2401,10,risk_gbdt
"(0.0167, 0.0351]",0.024831989216553395,0.21032902957101207,2401,10,risk_gbdt
"(0.0351, 0.0649]",0.04927710754281241,0.16076634735526865,2401,10,risk_gbdt
"(0.0649, 0.0981]",0.0814943860069534,0.19200333194502292,2401,10,risk_gbdt
"(0.0981, 0.128]",0.11332348396649077,0.20241566014160767,2401,10,risk_gbdt
"(0.128, 0.157]",0.14229114686952932,0.22666666666666666,2400,10,risk_gbdt
"(0.157, 0.192]",0.17351112141734343,0.23698458975426906,2401,10,risk_gbdt
"(0.192, 0.239]",0.21346352647731928,0.26364014993752605,2401,10,risk_gbdt
"(0.239, 0.314]",0.2726871463295387,0.32736359850062474,2401,10,risk_gbdt
"(0.314, 0.905]",0.42563760036805687,0.37026239067055394,2401,10,risk_gbdt
"(0.0478, 0.239]",0.18279057650793018,0.3473161930536761,2217,20,risk_logistic
"(0.239, 0.309]",0.2752891709066993,0.4481046931407942,2216,20,risk_logistic
"(0.309, 0.349]",0.3316375785513447,0.33664259927797835,2216,20,risk_logistic
"(0.349, 0.407]",0.37776535005052,0.521425349571493,2217,20,risk_logistic
"(0.407, 0.425]",0.4246050422122096,0.451656276738785,8181,20,risk_logistic
"(0.425, 0.446]",0.43578973185124137,0.5058479532163743,684,20,risk_logistic
"(0.446, 0.526]",0.4845655957256353,0.5171480144404332,2216,20,risk_logistic
"(0.526, 0.85]",0.6004971851729817,0.6048714479025711,2217,20,risk_logistic
"(0.00564, 0.0834]",0.03695043875368414,0.17050067658998647,2217,20,risk_gbdt
"(0.0834, 0.171]",0.12845034768802027,0.375,2216,20,risk_gbdt
"(0.171, 0.256]",0.21390927251391623,0.40478339350180503,2216,20,risk_gbdt
"(0.256, 0.328]",0.29352632551454083,0.40550293188994135,2217,20,risk_gbdt
"(0.328, 0.386]",0.35768267329801656,0.4404332129963899,2216,20,risk_gbdt
"(0.386, 0.439]",0.41320364162649575,0.4891696750902527,2216,20,risk_gbdt
"(0.439, 0.492]",0.46608461776412125,0.5115020297699594,2217,20,risk_gbdt
"(0.492, 0.552]",0.5208049115478163,0.5347472924187726,2216,20,risk_gbdt
"(0.552, 0.64]",0.591695042286334,0.5997292418772563,2216,20,risk_gbdt
"(0.64, 0.963]",0.7246674915612631,0.6675687866486243,2217,20,risk_gbdt
