decision_date,ticker,name,pool_rank,pool_selection_score,pool_selection_score_col,pool_selection_policy,P3_segment,same_day_full_layer5_feature_ready,stock_strength_confidence,market_risk_available_group_count,market_risk_confidence,full_spec_v2_state,controller_state_status,state_machine_action,future_return_used_as_rule
2023-07-14,3008,大立光,1,0.7441204938723597,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,False,0.0,0,,,,blocked_pending_strategy_center_threshold_decisions,False
2023-07-21,5388,中磊,1,0.7835084563800213,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.09,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-07-28,5388,中磊,1,0.7427289847150057,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.13,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-08-04,2481,強茂,1,0.7803282977900666,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.13,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-08-11,4123,晟德,1,0.7725888944149466,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.1699999999999999,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-08-18,2458,義隆,1,0.7592419593050738,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.21,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-08-25,2458,義隆,1,0.7599407716095729,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.25,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-09-01,8112,至上,1,0.7616602619374274,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.25,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-09-08,2332,友訊,1,0.8007223982150034,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.25,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-09-15,2402,毅嘉,1,0.7340182980120096,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,False,0.0,5,0.21,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-09-22,2492,華新科,1,0.7837705588357728,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.21,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-09-28,2492,華新科,1,0.7876062724990125,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.25,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-10-06,1584,精剛,1,0.7625857883474265,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.21,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-10-13,1584,精剛,1,0.7749225941584521,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.4,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-10-20,6531,愛普*,1,0.7764734438250401,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,False,0.0,5,0.49,PIT_warmup_or_low_confidence,PIT_warmup_or_low_confidence,blocked_pending_strategy_center_threshold_decisions,False
2023-10-27,1319,東陽,1,0.7498861235385409,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,False,0.0,5,0.53,ordinary_market,ready,blocked_pending_strategy_center_threshold_decisions,False
2023-11-03,1216,統一,1,0.7564772991843237,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,True,1.0,5,0.53,ordinary_market,ready,blocked_pending_strategy_center_threshold_decisions,False
2023-11-10,1524,耿鼎,1,0.7825458298528969,layer4_risk_aware_score,risk_aware,P3-1_TDCC_unavailable,False,0.0,5,0.7,ordinary_market,ready,blocked_pending_strategy_center_threshold_decisions,False
