slippage_bp,date,prior_target,new_target,NAV_before_transition,total_cost_rate,NAV_after_transition,cross_asset_nominal_price_return_used
5,2023-11-13,,1524,1.0,0.001925,0.998075,False
5,2024-01-11,1524,,1.0894480956544483,0.0049250000000000006,1.0840825637833502,False
5,2024-01-15,,2377,1.0840825637833502,0.001925,1.0819957048480673,False
5,2024-04-01,2377,,1.0132500679903071,0.0049250000000000006,1.0082598114054548,False
5,2024-04-22,,4958,1.0082598114054548,0.001925,1.0063189112684994,False
5,2024-08-08,4958,,1.112769154483995,0.0049250000000000006,1.1072887663981614,False
5,2024-08-12,,1216,1.1072887663981614,0.001925,1.105157235522845,False
5,2024-08-19,1216,,1.0849410409156253,0.0049250000000000006,1.0795977062891158,False
5,2024-08-26,,2912,1.0795977062891158,0.001925,1.0775194807045092,False
10,2023-11-13,,1524,1.0,0.002425,0.997575,False
10,2024-01-11,1524,,1.0889023209903932,0.005425,1.0829950258990202,False
10,2024-01-15,,2377,1.0829950258990202,0.002425,1.080368762961215,False
10,2024-04-01,2377,,1.0117264954196559,0.005425,1.0062378791820041,False
10,2024-04-22,,4958,1.0062378791820041,0.002425,1.0037977523249877,False
10,2024-08-08,4958,,1.1099813027657428,0.005425,1.1039596541982386,False
10,2024-08-12,,1216,1.1039596541982386,0.002425,1.101282552036808,False
10,2024-08-19,1216,,1.0811372354484599,0.005425,1.0752720659461519,False
10,2024-08-26,,2912,1.0752720659461519,0.002425,1.0726645311862324,False
20,2023-11-13,,1524,1.0,0.003425,0.996575,False
20,2024-01-11,1524,,1.0878107716622822,0.006425,1.080821587454352,False
20,2024-01-15,,2377,1.080821587454352,0.003425,1.077119773517321,False
20,2024-04-01,2377,,1.008683933642216,0.006425,1.0022031393685646,False
20,2024-04-22,,4958,1.0022031393685646,0.003425,0.9987705936162273,False
20,2024-08-08,4958,,1.1044223620729232,0.006425,1.0973264483966048,False
20,2024-08-12,,1216,1.0973264483966048,0.003425,1.0935681053108464,False
20,2024-08-19,1216,,1.0735639059782933,0.006425,1.0666662578823827,False
20,2024-08-26,,2912,1.0666662578823827,0.003425,1.0630129259491354,False
