decision_date,ticker,horizon_td,blocked_reason
2023-09-08,2332,5,official_raw_entry_missing_or_not_tradable
2023-09-08,2332,10,official_raw_entry_missing_or_not_tradable
2023-09-08,2332,20,official_raw_entry_missing_or_not_tradable
2023-09-08,2332,40,official_raw_entry_missing_or_not_tradable
2024-01-19,6756,5,official_raw_exit_missing_or_not_tradable
2024-01-19,6756,10,official_raw_exit_missing_or_not_tradable
2024-01-19,6756,20,official_raw_exit_missing_or_not_tradable
2024-01-19,6756,40,official_raw_exit_missing_or_not_tradable
2024-04-12,3406,40,official_raw_exit_missing_or_not_tradable
2024-06-14,3338,20,official_raw_exit_missing_or_not_tradable
2024-06-14,3338,40,official_raw_exit_missing_or_not_tradable
2024-07-05,3622,5,official_raw_entry_missing_or_not_tradable
2024-07-05,3622,10,official_raw_entry_missing_or_not_tradable
2024-07-05,3622,20,official_raw_entry_missing_or_not_tradable
2024-07-05,3622,40,official_raw_entry_missing_or_not_tradable
2024-07-26,2888,5,event_aware_adjusted_entry_missing
2024-07-26,2888,10,event_aware_adjusted_entry_missing
2024-07-26,2888,20,event_aware_adjusted_entry_missing
2024-07-26,2888,40,event_aware_adjusted_entry_missing
2024-10-11,2497,5,official_raw_exit_missing_or_not_tradable
2024-10-11,2497,10,official_raw_exit_missing_or_not_tradable
2024-10-11,2497,20,official_raw_exit_missing_or_not_tradable
2024-10-11,2497,40,official_raw_exit_missing_or_not_tradable
2025-07-11,5251,5,official_raw_exit_missing_or_not_tradable
2025-07-11,5251,10,official_raw_exit_missing_or_not_tradable
2025-07-11,5251,20,official_raw_exit_missing_or_not_tradable
2025-07-11,5251,40,official_raw_exit_missing_or_not_tradable
2025-10-17,3227,20,official_raw_exit_missing_or_not_tradable
2025-10-17,3227,40,official_raw_exit_missing_or_not_tradable
2025-10-23,5434,20,official_raw_exit_missing_or_not_tradable
2025-11-07,2887,10,official_raw_exit_missing_or_not_tradable
2025-11-14,2330,5,official_raw_exit_missing_or_not_tradable
2025-11-21,2881,5,official_raw_entry_missing_or_not_tradable
2025-11-21,2881,10,official_raw_entry_missing_or_not_tradable
2025-11-21,2881,20,official_raw_entry_missing_or_not_tradable
2025-11-21,2881,40,official_raw_entry_missing_or_not_tradable
2025-11-28,2881,40,official_raw_exit_missing_or_not_tradable
2026-01-16,8033,5,official_raw_entry_missing_or_not_tradable
2026-01-16,8033,10,official_raw_entry_missing_or_not_tradable
2026-01-16,8033,20,official_raw_entry_missing_or_not_tradable
2026-01-16,8033,40,official_raw_entry_missing_or_not_tradable
2026-02-11,1519,40,official_raw_exit_missing_or_not_tradable
2026-04-10,3702,40,official_raw_exit_missing_or_not_tradable
2026-04-17,3702,40,official_raw_exit_missing_or_not_tradable
2026-04-30,3563,20,official_raw_exit_missing_or_not_tradable
2026-06-05,3036,5,official_raw_entry_missing_or_not_tradable
2026-06-05,3036,10,official_raw_entry_missing_or_not_tradable
2026-06-05,3036,20,official_raw_entry_missing_or_not_tradable
2026-06-05,3036,40,official_raw_entry_missing_or_not_tradable
2026-06-29,2382,5,next_official_execution_date_missing
2026-06-29,2382,10,next_official_execution_date_missing
2026-06-29,2382,20,next_official_execution_date_missing
2026-06-29,2382,40,next_official_execution_date_missing
