group,dimension,ready_rows,total_rows,coverage,status
taiwan,tw_direction,648,715,0.9062937062937063,ready_or_warmup_partial
taiwan,tw_magnitude,618,715,0.8643356643356643,ready_or_warmup_partial
taiwan,tw_persistence,707,715,0.9888111888111888,ready_or_warmup_partial
taiwan,tw_risk_reversal,618,715,0.8643356643356643,ready_or_warmup_partial
breadth,breadth_direction,656,715,0.9174825174825175,ready_or_warmup_partial
breadth,breadth_magnitude,656,715,0.9174825174825175,ready_or_warmup_partial
breadth,breadth_persistence,651,715,0.9104895104895104,ready_or_warmup_partial
breadth,breadth_reversal,636,715,0.8895104895104895,ready_or_warmup_partial
capital,cap_direction,636,715,0.8895104895104895,ready_or_warmup_partial
capital,cap_magnitude,651,715,0.9104895104895104,ready_or_warmup_partial
capital,cap_persistence,646,715,0.9034965034965035,ready_or_warmup_partial
capital,cap_divergence,636,715,0.8895104895104895,ready_or_warmup_partial
capital,cap_volrisk,656,715,0.9174825174825175,ready_or_warmup_partial
derivatives,deriv_level,715,715,1.0,ready_or_warmup_partial
derivatives,deriv_change,691,715,0.9664335664335665,ready_or_warmup_partial
derivatives,deriv_persistence,705,715,0.986013986013986,ready_or_warmup_partial
derivatives,deriv_trade_flow,696,715,0.9734265734265735,ready_or_warmup_partial
derivatives,deriv_divergence,658,715,0.9202797202797203,ready_or_warmup_partial
external,external_nasdaq,601,715,0.8405594405594405,ready_or_warmup_partial
external,external_sox,601,715,0.8405594405594405,ready_or_warmup_partial
external,external_vix,541,715,0.7566433566433567,ready_or_warmup_partial
external,external_fx,587,715,0.820979020979021,ready_or_warmup_partial
external,external_crossconfirm,541,715,0.7566433566433567,ready_or_warmup_partial
