snapshot_date,0050_adjusted_close,0050_return_20d,0050_return_40d,0050_return_60d,0050_ma20,0050_ma40,0050_ma60,0050_ma20_slope,0050_ma40_slope,0050_ma60_slope,0050_price_vs_ma20,0050_price_vs_ma40,0050_price_vs_ma60,0050_bias20,0050_bias40,0050_bias60,0050_bias120,bias20_delta_5d,bias60_delta_5d,bias20_expanding_candidate,bias60_expanding_candidate,0050_close_vs_20d_high,0050_close_vs_40d_high,0050_close_vs_60d_high,0050_new_20d_high_flag,0050_new_40d_high_flag,0050_new_60d_high_flag,rolling_high_breakout_count,00631L_return_20d,00631L_return_60d,00631L_vs_0050_return_20d,00631L_vs_0050_return_60d,00631L_vs_0050_relation_source_quality,0050_bias40_source_quality,market_regime_feature_threshold_decided_by_core,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2014-11-03,11.553729057312012,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-04,11.562538146972656,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-05,11.536118507385254,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-06,11.465667724609377,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-07,11.483281135559082,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-10,11.65059757232666,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-11,11.615374565124512,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-12,11.448057174682615,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-13,11.562538146972656,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-14,11.57134246826172,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-17,11.465667724609377,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-18,11.430444717407228,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-19,11.597763061523438,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-20,11.729854583740234,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-21,11.738662719726562,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-24,11.765079498291016,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-25,11.773885726928713,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2014-11-26,11.773885726928713,,,,,,,,,,,,,,,,,,,False,False,,,,False,False,False,0,,,,,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
