task,signal_date,next_signal_date,period_label,in_P1,in_P2,in_2024_latest,in_2026YTD,regime_label,selected_branch,selected_ticker,selected_ticker_name,selected_asset_type,fallback_asset,branch_reason,triggered_features,c2_pass_flag,consensus_trigger_flag,r6_override_flag,breakout_breadth_flag,p1_risk_veto_flag,bear_guard_flag,cash_guard_flag,bear_cash_guard_source_quality,rs20_top3_reference_tickers,rs20_reference_only,low_base_main_weight_included,entry_date,exit_date,entry_price,exit_price,gross_interval_return,net_interval_return_after_transition_cost,transition_action,transition_cost_rate,official_selected_stock_ohlc_ready,benchmark_adjusted_path_ready,path_ready,branch_path_missing_fallback,source_quality,data_readiness,blocked_reason,selected_primary_asset_type_for_anomaly,revenue_anomaly_applicability,abnormal_revenue_review_flag,revenue_growth_persistence_score,revenue_concentration_ratio_top3_12m,revenue_lumpiness_score,revenue_lumpiness_percentile_vs_primary80,revenue_lumpiness_percentile_source_quality,ttm_vs_recent_growth_gap,low_base_distortion_flag,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,revenue_anomaly_used_as_hard_exclude,route_support_selected_result_changed,r6_selected_result_changed,report_revenue_anomaly_warning,report_revenue_anomaly_reason,revenue_anomaly_report_text,revenue_anomaly_source_quality,data_coverage,missingness,pit_asof_audit,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,selected_stock_adjusted_close_ready,cash_bear_classifier_ready,cash_bear_classifier_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-01-09,2015-01-16,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0130;0050_ret40=0.0177;0050_ret60=0.0000;bias20=0.0072;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=0,False,True,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-01-09,2015-01-16,0.875,0.8777300119400024,0.003120013645717,0.003120013645717,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-01-16,2015-01-23,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0307;0050_ret40=-0.0053;0050_ret60=0.0000;bias20=-0.0063;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=0,False,True,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-01-16,2015-01-23,0.8777300119400024,0.8504499793052673,-0.0310802094763051,-0.0310802094763051,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-01-23,2015-01-30,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0362;0050_ret40=0.0277;0050_ret60=0.0000;bias20=0.0347;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=2,False,True,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-01-23,2015-01-30,0.8504499793052673,0.8554499745368958,0.0058792349383238,0.0058792349383238,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-01-30,2015-02-06,P1,True,False,False,False,多頭_C2_route_support_default,route_support,2603,,stock,,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0172;0050_ret40=0.0172;0050_ret60=0.0382;bias20=0.0168;bias60=0.0260;breadth20=0.000;breadth60=0.000;breakout_count=0,True,True,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-02-02,2015-02-09,21.6,22.4,0.0370370370370369,0.0331870370370369,00631L_to_stock_exception,0.00385,True,True,True,False,official_unadjusted_ohlcv_twse_stock_day,ready_unadjusted_diagnostic,,stock,selected_stock_anomaly_context,False,,,,,blocked_historical_primary80_distribution_not_materialized,,False,0.0,high_no_major_revenue_anomaly,False,False,False,入選個股未觸發主要營收異常 review。,營收時間序列資料不足，無法判斷 revenue anomaly。,營收時間序列資料不足，無法判斷 revenue anomaly。,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-02-06,2015-02-13,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0393;0050_ret40=0.0528;0050_ret60=0.0577;bias20=0.0166;bias60=0.0330;breadth20=0.600;breadth60=0.000;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-02-06,2015-02-13,0.851360023021698,0.8359100222587585,-0.0181474350981426,-0.0239974350981426,stock_exception_to_00631L_base,0.00585,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-02-13,2015-02-26,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0603;0050_ret40=0.0928;0050_ret60=0.0547;bias20=0.0153;bias60=0.0391;breadth20=0.500;breadth60=0.000;breakout_count=3,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-02-13,2015-02-26,0.8359100222587585,0.8359100222587585,0.0,0.0,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-02-26,2015-03-06,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0454;0050_ret40=0.0652;0050_ret60=0.0524;bias20=0.0194;bias60=0.0489;breadth20=0.725;breadth60=0.000;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-02-26,2015-03-06,0.8359100222587585,0.8395500183105469,0.0043545309361796,0.0043545309361796,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-03-06,2015-03-13,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0094;0050_ret40=0.0387;0050_ret60=0.0449;bias20=0.0078;bias60=0.0378;breadth20=1.000;breadth60=0.000;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-03-06,2015-03-13,0.8395500183105469,0.842270016670227,0.0032398288373023,0.0032398288373023,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-03-13,2015-03-20,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0007;0050_ret40=0.0685;0050_ret60=0.0467;bias20=0.0000;bias60=0.0292;breadth20=0.988;breadth60=0.000;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-03-13,2015-03-20,0.842270016670227,0.8263599872589111,-0.01888946430055,-0.01888946430055,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-03-20,2015-03-27,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0225;0050_ret40=0.0755;0050_ret60=0.0837;bias20=0.0118;bias60=0.0399;breadth20=0.988;breadth60=0.000;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-03-20,2015-03-27,0.8263599872589111,0.8427299857139587,0.0198097665756395,0.0198097665756395,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
