signal_date,next_signal_date,period_label,in_P1,in_P2,in_2024_latest,in_2026YTD,selected_ticker,selected_asset_type,state_reason,c2_market_health_gate,c2_definition,consensus_trigger,consensus_trigger_source_quality,score_variant,route_support_weighted_score,route_support_variant_count,route_support_variant_flags,entry_date,exit_date,entry_price,exit_price,gross_interval_return,transition_action,transition_cost_rate,net_interval_return_after_transition_cost,official_unadjusted_ohlc_ready,benchmark_adjusted_path_ready,adjusted_close_ready,source_quality,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-16,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.46372833333333335,0.0,,2015-01-09,2015-01-16,0.875,0.8777300119400024,0.0031200136457170125,hold_same_state_no_trade,0.0,0.0031200136457170125,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-23,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.4637183215547703,0.0,,2015-01-16,2015-01-23,0.8777300119400024,0.8504499793052673,-0.031080209476305187,hold_same_state_no_trade,0.0,-0.031080209476305187,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-30,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.4637183215547703,0.0,,2015-01-23,2015-01-30,0.8504499793052673,0.8554499745368958,0.005879234938323874,hold_same_state_no_trade,0.0,0.005879234938323874,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-06,P1,True,False,False,False,2603,stock,c2_consensus_trigger_route_support_top1_stock_exception,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,True,p1_exact_consensus4_trigger,route_support,0.6966148551220627,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,2015-02-02,2015-02-09,21.6,22.4,0.0370370370370369,00631L_to_stock_exception,0.00385,0.033187037037036904,True,True,False,official_unadjusted_ohlcv_twse_stock_day,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-13,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5004968052572738,0.0,,2015-02-06,2015-02-13,0.851360023021698,0.8359100222587585,-0.01814743509814265,stock_exception_to_00631L_base,0.00585,-0.02399743509814265,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-02-13,2015-02-26,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5174584671919366,0.0,,2015-02-13,2015-02-26,0.8359100222587585,0.8359100222587585,0.0,hold_same_state_no_trade,0.0,0.0,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-02-26,2015-03-06,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5108505825087801,0.0,,2015-02-26,2015-03-06,0.8359100222587585,0.8395500183105469,0.004354530936179657,hold_same_state_no_trade,0.0,0.004354530936179657,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-03-06,2015-03-13,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5179759202713016,0.0,,2015-03-06,2015-03-13,0.8395500183105469,0.842270016670227,0.0032398288373023387,hold_same_state_no_trade,0.0,0.0032398288373023387,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-03-13,2015-03-20,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5314182260418806,0.0,,2015-03-13,2015-03-20,0.842270016670227,0.8263599872589111,-0.018889464300550052,hold_same_state_no_trade,0.0,-0.018889464300550052,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-03-20,2015-03-27,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5105127522393105,0.0,,2015-03-20,2015-03-27,0.8263599872589111,0.8427299857139587,0.019809766575639598,hold_same_state_no_trade,0.0,0.019809766575639598,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-03-27,2015-04-02,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.48931137187811236,0.0,,2015-03-27,2015-04-02,0.8427299857139587,0.834089994430542,-0.010252383835727574,hold_same_state_no_trade,0.0,-0.010252383835727574,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-04-02,2015-04-10,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5328418418081483,0.0,,2015-04-02,2015-04-10,0.834089994430542,0.8327299952507019,-0.0016305185158930202,hold_same_state_no_trade,0.0,-0.0016305185158930202,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-04-10,2015-04-17,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5142571882379138,0.0,,2015-04-10,2015-04-17,0.8327299952507019,0.8404499888420105,0.009270704352356551,hold_same_state_no_trade,0.0,0.009270704352356551,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-04-17,2015-04-24,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5125596969043221,0.0,,2015-04-17,2015-04-24,0.8404499888420105,0.8022699952125549,-0.0454280375231616,hold_same_state_no_trade,0.0,-0.0454280375231616,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-04-24,2015-04-30,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5136224032870607,0.0,,2015-04-24,2015-04-30,0.8022699952125549,0.8113600015640259,0.011330358115988926,hold_same_state_no_trade,0.0,0.011330358115988926,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-04-30,2015-05-08,P1,True,False,False,False,2316,stock,c2_consensus_trigger_route_support_top1_stock_exception,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,True,p1_exact_consensus4_trigger,route_support,0.6107819115601689,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,2015-05-04,2015-05-11,22.8,21.75,-0.0460526315789473,00631L_to_stock_exception,0.00385,-0.0499026315789473,True,True,False,official_unadjusted_ohlcv_twse_stock_day,True,False,False,False,False,False,False,False,True,False
2015-05-08,2015-05-15,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5057444401482829,0.0,,2015-05-08,2015-05-15,0.8245499730110168,0.836359977722168,0.014322970223410891,stock_exception_to_00631L_base,0.00585,0.00847297022341089,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-05-15,2015-05-22,P1,True,False,False,False,3008,stock,c2_consensus_trigger_route_support_top1_stock_exception,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,True,p1_exact_consensus4_trigger,route_support,0.6388777407677176,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,2015-05-18,2015-05-25,3130.0,3465.0,0.1070287539936101,00631L_to_stock_exception,0.00385,0.1031787539936101,True,True,False,official_unadjusted_ohlcv_twse_stock_day,True,False,False,False,False,False,False,False,True,False
2015-05-22,2015-05-29,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5202820749201652,0.0,,2015-05-22,2015-05-29,0.8345500230789185,0.8327299952507019,-0.002180849293493381,stock_exception_to_00631L_base,0.00585,-0.008030849293493382,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-05-29,2015-06-05,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.538840026643335,0.0,,2015-05-29,2015-06-05,0.8327299952507019,0.8550000190734863,0.026743390954807378,hold_same_state_no_trade,0.0,0.026743390954807378,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-06-05,2015-06-12,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5301991554707387,0.0,,2015-06-05,2015-06-12,0.8550000190734863,0.8663600087165833,0.013286537297866996,hold_same_state_no_trade,0.0,0.013286537297866996,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2015-06-12,2015-06-18,P1,True,False,False,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5315313370310815,0.0,,2015-06-12,2015-06-18,0.8663600087165833,0.8568199872970581,-0.011011613328802738,hold_same_state_no_trade,0.0,-0.011011613328802738,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
