signal_date,transition_date,from_ticker,from_asset_type,to_ticker,to_asset_type,transition_action,diagnostic_notional_twd,transition_cost_rate,sell_fee_twd,buy_fee_twd,securities_transaction_tax_twd,total_transition_cost_twd,cost_model_status,cost_model_version,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-30,2015-02-02,00631L,etf,2603,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-06,2603,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-04-30,2015-05-04,00631L,etf,2316,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-05-08,2015-05-08,2316,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-05-15,2015-05-18,00631L,etf,3008,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-05-22,2015-05-22,3008,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-10-08,2015-10-12,00631L,etf,6143,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-10-16,2015-10-19,6143,stock,8433,stock,stock_to_stock_exception_switch,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2015-10-23,2015-10-23,8433,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2016-02-26,2016-03-01,00631L,etf,3324,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2016-03-04,2016-03-04,3324,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-02-03,2017-02-06,00631L,etf,3346,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-02-10,2017-02-10,3346,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-05-12,2017-05-15,00631L,etf,1301,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-05-19,2017-05-19,1301,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-08-25,2017-08-28,00631L,etf,2603,stock,00631L_to_stock_exception,1000000,0.00385,1425,1425,1000,3850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
2017-09-01,2017-09-01,2603,stock,00631L,etf,stock_exception_to_00631L_base,1000000,0.00585,1425,1425,3000,5850,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,True,False,False,False,False,False,False,False,True,False
